ApprovalID,ApplicationID,LeadID,CustomerID,ProductID,Branch,Region,ApprovalDate,ApprovalStatus,ApprovedAmount,CreditLimit
103,103,103,23986,47,HN1,South,2024-02-21,Approved,358493925,358493925
109,109,109,74505,15,HN1,South,2024-05-02,Approved,193621295,193621295
112,112,112,18392,26,HCM1,Central,2024-05-01,Approved,40742600,40742600
113,113,113,40535,29,HCM2,South,2024-09-22,Approved,447602076,447602076
114,114,114,88603,22,DN1,Central,2024-03-17,Approved,346168392,346168392
116,116,116,99135,21,HCM2,Central,2024-01-12,Approved,354821093,354821093
117,117,117,45222,38,HCM1,North,2025-01-06,Approved,357610465,357610465
121,121,121,73335,7,HCM2,Central,2024-08-11,Approved,49853882,49853882
122,122,122,20965,28,HCM1,North,2024-10-13,Approved,429045047,429045047
123,123,123,34538,28,HCM2,North,2024-02-05,Approved,88069811,88069811
124,124,124,80592,4,HN1,South,2024-08-27,Approved,190098453,190098453
125,125,125,18110,22,HN1,South,2024-11-14,Approved,54462168,54462168
129,129,129,92948,22,DN1,North,2024-12-20,Approved,119787931,119787931
130,130,130,16910,44,HN1,South,2024-06-13,Approved,218272762,218272762
133,133,133,97897,34,CT1,South,2024-02-13,Approved,360856747,360856747
137,137,137,64268,8,CT1,South,2024-07-30,Approved,237159295,237159295
138,138,138,97939,23,DN1,South,2024-09-03,Approved,276688371,276688371
143,143,143,77214,18,HN1,Central,2024-08-05,Approved,332915807,332915807
144,144,144,43827,17,HCM2,Central,2024-12-29,Approved,85027436,85027436
145,145,145,65820,12,CT1,Central,2024-04-23,Approved,390331669,390331669
147,147,147,91734,26,HCM1,Central,2024-07-04,Approved,340339949,340339949
149,149,149,32299,8,HN1,North,2024-09-11,Approved,177950528,177950528
152,152,152,52557,1,HCM2,South,2024-03-29,Approved,291932882,291932882
153,153,153,59080,29,DN1,South,2024-08-09,Approved,49844770,49844770
156,156,156,35939,35,HCM2,Central,2024-12-10,Approved,249469846,249469846
161,161,161,36105,45,HCM1,South,2024-11-05,Approved,437347403,437347403
163,163,163,25707,49,HCM1,Central,2024-11-09,Approved,90020468,90020468
164,164,164,31976,13,HN1,South,2024-06-14,Approved,412829747,412829747
170,170,170,16776,43,HN1,North,2024-08-08,Approved,50953753,50953753
173,173,173,68053,26,HCM1,North,2024-03-19,Approved,208147518,208147518
175,175,175,15530,21,HCM1,South,2024-07-16,Approved,306731011,306731011
176,176,176,13748,49,HCM1,South,2024-10-22,Approved,341232009,341232009
177,177,177,23545,42,CT1,Central,2024-01-16,Approved,387306924,387306924
179,179,179,44766,41,CT1,North,2024-10-20,Approved,58081838,58081838
180,180,180,83530,9,DN1,Central,2024-09-07,Approved,204931776,204931776
183,183,183,64384,49,DN1,South,2024-10-10,Approved,85481524,85481524
188,188,188,93211,39,CT1,Central,2024-01-17,Approved,332369464,332369464
189,189,189,62733,41,CT1,North,2024-12-21,Approved,304250746,304250746
190,190,190,75318,39,HN1,Central,2024-02-25,Approved,105137457,105137457
193,193,193,77172,46,CT1,Central,2024-02-07,Approved,107846090,107846090
194,194,194,95616,19,HCM2,North,2024-09-22,Approved,360576944,360576944
195,195,195,36736,11,HCM1,North,2024-01-20,Approved,34930743,34930743
198,198,198,17392,45,CT1,North,2024-02-10,Approved,158357046,158357046
200,200,200,56717,40,HN1,North,2024-02-06,Approved,381246197,381246197
205,205,205,73734,8,HCM2,Central,2024-04-24,Approved,141077850,141077850
206,206,206,80467,45,CT1,Central,2024-09-28,Approved,366560509,366560509
208,208,208,22688,48,DN1,South,2024-10-27,Approved,385696928,385696928
210,210,210,47157,45,HCM1,North,2024-04-06,Approved,138533931,138533931
212,212,212,62083,39,HN1,South,2024-09-17,Approved,204588293,204588293
214,214,214,99045,5,CT1,South,2024-09-22,Approved,106905221,106905221
215,215,215,44698,8,CT1,North,2024-12-12,Approved,161415905,161415905
216,216,216,90623,25,DN1,Central,2024-04-04,Approved,104344341,104344341
217,217,217,32671,27,DN1,Central,2024-04-06,Approved,365476045,365476045
219,219,219,52107,23,DN1,Central,2024-03-16,Approved,111650551,111650551
220,220,220,96202,30,CT1,Central,2024-02-21,Approved,486031260,486031260
222,222,222,25708,47,HCM1,Central,2024-06-03,Approved,185022289,185022289
224,224,224,12811,49,HCM2,North,2024-01-22,Approved,128725693,128725693
226,226,226,82082,20,DN1,Central,2024-04-06,Approved,334769845,334769845
230,230,230,77270,4,DN1,North,2024-09-08,Approved,55544593,55544593
234,234,234,93879,18,HCM1,North,2024-05-02,Approved,345856195,345856195
238,238,238,47504,28,HCM1,South,2024-11-28,Approved,248044814,248044814
249,249,249,56843,41,HCM1,North,2024-10-03,Approved,314111463,314111463
251,251,251,87371,2,HN1,North,2024-05-21,Approved,132419072,132419072
252,252,252,12049,11,CT1,North,2024-06-23,Approved,232528033,232528033
253,253,253,41616,13,DN1,Central,2024-07-30,Approved,282118961,282118961
256,256,256,71434,18,CT1,North,2025-01-05,Approved,368415285,368415285
258,258,258,53016,39,HCM1,Central,2024-01-12,Approved,46297118,46297118
260,260,260,52642,3,HN1,South,2024-07-30,Approved,96166954,96166954
262,262,262,61407,6,HN1,Central,2024-04-08,Approved,131378677,131378677
269,269,269,22874,30,DN1,Central,2024-04-02,Approved,211208534,211208534
271,271,271,15539,2,HCM1,Central,2024-09-08,Approved,300259864,300259864
273,273,273,71267,41,HN1,Central,2024-12-22,Approved,90720011,90720011
274,274,274,58354,12,HCM1,South,2024-06-17,Approved,359276297,359276297
275,275,275,12557,35,DN1,South,2024-08-14,Approved,489659171,489659171
276,276,276,48360,43,CT1,South,2024-08-13,Approved,160146119,160146119
280,280,280,56975,26,CT1,Central,2024-06-03,Approved,111353652,111353652
281,281,281,31357,37,DN1,South,2024-08-07,Approved,67114843,67114843
283,283,283,12869,49,CT1,Central,2024-02-12,Approved,182585701,182585701
285,285,285,60108,25,HCM2,Central,2024-12-01,Approved,274174687,274174687
286,286,286,48467,23,HN1,South,2024-09-12,Approved,244329049,244329049
290,290,290,68871,21,HCM2,Central,2024-12-12,Approved,158616664,158616664
291,291,291,32399,43,DN1,Central,2024-09-23,Approved,335369396,335369396
295,295,295,54064,45,HCM1,Central,2024-01-13,Approved,148244843,148244843
296,296,296,80091,9,HN1,North,2024-04-24,Approved,176549773,176549773
303,303,303,57333,3,HCM1,Central,2024-05-07,Approved,113764264,113764264
307,307,307,15895,41,HCM2,South,2024-04-02,Approved,136344785,136344785
310,310,310,59377,11,HCM1,South,2024-12-15,Approved,233878152,233878152
311,311,311,58404,48,DN1,South,2024-01-19,Approved,265747265,265747265
314,314,314,15600,33,DN1,North,2024-01-18,Approved,200123852,200123852
317,317,317,55714,34,HCM2,Central,2024-12-03,Approved,80342987,80342987
320,320,320,66491,7,DN1,Central,2024-11-25,Approved,54257708,54257708
323,323,323,92989,1,HCM2,North,2024-10-10,Approved,117409240,117409240
324,324,324,46212,1,CT1,South,2024-04-27,Approved,338072973,338072973
325,325,325,53525,47,HCM1,North,2024-01-10,Approved,140868461,140868461
328,328,328,73208,29,HCM2,South,2024-04-28,Approved,18578212,18578212
337,337,337,20492,11,HCM1,Central,2024-06-28,Approved,173216634,173216634
342,342,342,44584,8,DN1,South,2024-05-25,Approved,417317211,417317211
343,343,343,42745,34,DN1,Central,2024-02-13,Approved,356112405,356112405
344,344,344,33093,48,DN1,South,2024-12-02,Approved,410645207,410645207
345,345,345,76105,12,HCM2,North,2024-10-12,Approved,137030561,137030561
347,347,347,46631,1,CT1,South,2024-11-11,Approved,70888248,70888248
348,348,348,82991,31,HCM2,North,2024-11-18,Approved,212370579,212370579
351,351,351,28070,45,HN1,Central,2024-02-28,Approved,366732144,366732144
352,352,352,45777,5,HCM1,North,2024-06-06,Approved,20887759,20887759
354,354,354,92074,24,HN1,North,2024-04-24,Approved,61441356,61441356
362,362,362,29190,43,DN1,South,2024-01-14,Approved,290506139,290506139
367,367,367,18716,30,HCM2,North,2024-02-01,Approved,61353184,61353184
368,368,368,98891,42,DN1,North,2024-05-31,Approved,241723671,241723671
370,370,370,99912,37,DN1,Central,2024-12-10,Approved,202960785,202960785
371,371,371,80316,42,CT1,North,2024-12-08,Approved,258085565,258085565
372,372,372,12368,37,HN1,Central,2024-03-12,Approved,299353190,299353190
373,373,373,87575,35,DN1,South,2024-10-31,Approved,42269525,42269525
376,376,376,86429,4,HCM2,North,2024-03-18,Approved,399176951,399176951
377,377,377,97922,18,HCM2,South,2024-04-25,Approved,39863915,39863915
378,378,378,65766,9,DN1,North,2024-04-29,Approved,23636165,23636165
380,380,380,42097,29,HN1,Central,2024-07-24,Approved,190919665,190919665
381,381,381,88657,13,HCM2,North,2024-06-04,Approved,196007345,196007345
387,387,387,65609,22,HCM2,South,2024-02-20,Approved,204964937,204964937
390,390,390,80313,37,HCM2,Central,2024-07-20,Approved,267313460,267313460
391,391,391,63006,41,HN1,South,2024-02-27,Approved,301344195,301344195
392,392,392,25338,49,HCM2,South,2024-08-06,Approved,29052216,29052216
393,393,393,78027,13,CT1,North,2024-06-06,Approved,362401934,362401934
395,395,395,29508,45,HCM1,South,2024-12-08,Approved,71529164,71529164
404,404,404,42093,21,CT1,North,2024-05-07,Approved,42247474,42247474
408,408,408,82615,44,HCM1,South,2024-04-12,Approved,412067110,412067110
415,415,415,89634,35,DN1,North,2024-12-15,Approved,248183447,248183447
419,419,419,18308,11,HCM2,North,2024-01-31,Approved,166370881,166370881
420,420,420,15949,36,CT1,Central,2024-06-28,Approved,281918127,281918127
422,422,422,11150,35,CT1,South,2024-11-30,Approved,321887432,321887432
423,423,423,99480,18,HCM2,Central,2024-08-30,Approved,19334177,19334177
424,424,424,84740,40,DN1,Central,2024-08-07,Approved,171926238,171926238
426,426,426,26896,24,DN1,Central,2024-10-15,Approved,178005922,178005922
428,428,428,17805,37,HCM2,Central,2024-03-26,Approved,76496355,76496355
432,432,432,66556,28,DN1,Central,2024-05-02,Approved,100592606,100592606
436,436,436,39375,36,HCM2,North,2024-12-23,Approved,429398913,429398913
437,437,437,19662,19,HCM1,North,2024-06-09,Approved,327382349,327382349
438,438,438,26964,27,CT1,South,2024-03-20,Approved,179878766,179878766
440,440,440,83666,11,HCM1,Central,2024-12-16,Approved,152524711,152524711
442,442,442,77215,47,CT1,South,2024-11-17,Approved,487106853,487106853
444,444,444,23284,21,HCM1,Central,2024-12-18,Approved,390640693,390640693
449,449,449,64340,17,HN1,Central,2024-06-25,Approved,79505369,79505369
450,450,450,54078,20,HCM1,North,2024-05-22,Approved,347582673,347582673
451,451,451,88832,41,HN1,North,2024-02-26,Approved,263537014,263537014
452,452,452,61293,46,DN1,South,2024-12-08,Approved,221237372,221237372
453,453,453,88781,12,CT1,Central,2024-12-18,Approved,363571741,363571741
457,457,457,45247,26,HCM2,South,2024-09-05,Approved,430883067,430883067
458,458,458,72752,48,HN1,North,2024-04-20,Approved,33565764,33565764
466,466,466,75417,33,HN1,South,2024-03-23,Approved,73907589,73907589
468,468,468,19823,23,HN1,Central,2024-12-16,Approved,457574645,457574645
472,472,472,26364,17,DN1,North,2024-04-29,Approved,145919360,145919360
473,473,473,14611,14,HCM2,North,2024-04-03,Approved,52471527,52471527
476,476,476,67679,28,HCM1,Central,2024-03-03,Approved,373363747,373363747
479,479,479,98223,4,CT1,Central,2024-11-28,Approved,86104022,86104022
480,480,480,70890,7,CT1,North,2024-09-13,Approved,28764427,28764427
483,483,483,69275,48,HCM2,North,2024-05-29,Approved,211834582,211834582
486,486,486,45195,45,HCM2,North,2024-09-23,Approved,257376123,257376123
487,487,487,14000,17,CT1,Central,2024-12-27,Approved,18456743,18456743
489,489,489,48304,49,HCM2,Central,2024-06-02,Approved,293794299,293794299
490,490,490,79449,33,HN1,South,2024-01-27,Approved,406835873,406835873
492,492,492,99643,8,CT1,South,2024-09-05,Approved,307617738,307617738
495,495,495,48494,3,DN1,Central,2024-02-12,Approved,161242520,161242520
500,500,500,98668,31,HCM2,Central,2024-12-13,Approved,280555699,280555699
501,501,501,25305,16,CT1,North,2024-08-16,Approved,284895584,284895584
502,502,502,85353,32,DN1,Central,2024-08-10,Approved,291522025,291522025
509,509,509,99588,42,CT1,Central,2024-02-17,Approved,310461197,310461197
510,510,510,48513,21,HN1,North,2024-12-02,Approved,240045577,240045577
512,512,512,21338,12,HN1,South,2025-01-01,Approved,116883687,116883687
515,515,515,43496,24,DN1,North,2024-02-22,Approved,107923576,107923576
516,516,516,70692,35,HCM2,South,2024-05-22,Approved,299303541,299303541
522,522,522,57295,8,HCM1,North,2024-02-25,Approved,194823356,194823356
526,526,526,47841,7,DN1,Central,2024-01-31,Approved,355955251,355955251
529,529,529,44911,3,HCM2,South,2024-04-06,Approved,34717911,34717911
530,530,530,69031,1,HCM2,North,2024-09-02,Approved,76873233,76873233
531,531,531,98726,36,HCM2,Central,2024-12-01,Approved,262754110,262754110
532,532,532,17357,25,HN1,North,2024-01-22,Approved,56759577,56759577
533,533,533,42479,37,HCM1,North,2024-01-11,Approved,383872241,383872241
534,534,534,71476,1,HCM2,North,2024-07-17,Approved,427827488,427827488
540,540,540,78450,5,CT1,South,2024-08-02,Approved,389493699,389493699
543,543,543,24397,36,HN1,South,2024-04-11,Approved,435614799,435614799
561,561,561,61934,13,HCM1,Central,2024-01-11,Approved,334671403,334671403
562,562,562,74895,45,HCM1,North,2024-03-10,Approved,390677981,390677981
565,565,565,70921,45,HCM2,South,2024-09-13,Approved,135193184,135193184
566,566,566,15486,19,CT1,North,2024-01-13,Approved,416720531,416720531
567,567,567,18335,38,CT1,North,2024-05-04,Approved,223175134,223175134
569,569,569,99112,2,DN1,Central,2024-04-11,Approved,287322915,287322915
572,572,572,70566,34,HN1,North,2024-05-22,Approved,136147789,136147789
574,574,574,37192,16,CT1,North,2024-02-08,Approved,115551063,115551063
576,576,576,94076,2,HCM2,South,2024-03-14,Approved,292540286,292540286
577,577,577,99780,2,HCM2,Central,2024-11-07,Approved,332654989,332654989
578,578,578,31545,26,CT1,South,2024-07-24,Approved,152457164,152457164
581,581,581,98461,31,DN1,North,2024-11-14,Approved,438419808,438419808
583,583,583,33714,39,HCM2,North,2024-10-08,Approved,28508614,28508614
584,584,584,48102,3,DN1,South,2024-04-13,Approved,246717310,246717310
588,588,588,82267,27,HN1,Central,2024-06-07,Approved,170133398,170133398
592,592,592,82592,1,HCM2,Central,2024-07-21,Approved,353951090,353951090
595,595,595,11542,30,HCM1,Central,2024-10-20,Approved,111107328,111107328
596,596,596,31677,13,HN1,South,2024-10-04,Approved,216013847,216013847
600,600,600,72856,25,HCM1,South,2024-05-11,Approved,303451310,303451310
602,602,602,29065,31,HCM2,Central,2024-01-18,Approved,146422750,146422750
603,603,603,93460,17,CT1,South,2024-05-02,Approved,357361638,357361638
605,605,605,64693,32,DN1,North,2024-08-14,Approved,214480410,214480410
606,606,606,36962,10,CT1,South,2024-04-18,Approved,133425238,133425238
608,608,608,23807,36,DN1,North,2024-07-22,Approved,394877075,394877075
612,612,612,67854,14,DN1,North,2024-03-23,Approved,182161537,182161537
613,613,613,50262,28,HN1,South,2024-12-07,Approved,277121178,277121178
614,614,614,47080,46,DN1,Central,2024-07-12,Approved,26700486,26700486
616,616,616,45909,15,HN1,North,2024-08-09,Approved,89391270,89391270
618,618,618,29870,30,HCM1,North,2024-11-18,Approved,151562975,151562975
628,628,628,96769,18,HCM2,Central,2024-12-25,Approved,42700827,42700827
629,629,629,19435,34,HN1,North,2024-04-12,Approved,328922013,328922013
633,633,633,67799,49,HN1,North,2024-05-29,Approved,339575193,339575193
635,635,635,35470,31,HCM1,North,2024-08-24,Approved,87247208,87247208
636,636,636,52344,49,HN1,South,2024-06-28,Approved,432829720,432829720
639,639,639,49298,18,CT1,Central,2024-08-10,Approved,103416086,103416086
640,640,640,90219,32,HN1,Central,2024-03-25,Approved,443549704,443549704
647,647,647,77641,41,DN1,South,2024-06-06,Approved,159515656,159515656
651,651,651,30559,29,HCM1,South,2024-01-09,Approved,263600623,263600623
652,652,652,71642,28,HCM2,North,2024-08-06,Approved,180997345,180997345
655,655,655,40354,43,HCM1,Central,2024-05-09,Approved,287541398,287541398
661,661,661,62638,4,CT1,South,2024-04-30,Approved,104715190,104715190
662,662,662,62736,36,HN1,South,2024-10-19,Approved,105461197,105461197
664,664,664,29087,15,HCM1,Central,2024-06-22,Approved,324494145,324494145
667,667,667,17114,49,DN1,North,2024-04-02,Approved,180062772,180062772
668,668,668,88859,6,CT1,North,2024-06-25,Approved,289164044,289164044
671,671,671,31447,37,HCM1,South,2024-07-11,Approved,96610360,96610360
672,672,672,33959,17,DN1,South,2024-12-26,Approved,434331658,434331658
673,673,673,76203,23,DN1,South,2024-08-12,Approved,326659491,326659491
678,678,678,94665,25,HN1,South,2024-04-23,Approved,386345678,386345678
684,684,684,57605,43,HCM1,Central,2024-06-07,Approved,147886019,147886019
685,685,685,48088,13,DN1,Central,2024-07-18,Approved,326711662,326711662
686,686,686,88752,37,HCM1,Central,2024-07-19,Approved,243097464,243097464
688,688,688,67043,24,HN1,North,2024-07-18,Approved,67651310,67651310
692,692,692,44349,4,HCM2,North,2024-04-19,Approved,383294830,383294830
698,698,698,60990,20,HCM2,North,2024-06-26,Approved,72899428,72899428
700,700,700,75545,19,DN1,North,2024-02-19,Approved,122904145,122904145
701,701,701,94791,12,HCM1,South,2024-05-04,Approved,323074683,323074683
703,703,703,33793,42,HCM2,Central,2024-10-30,Approved,187457456,187457456
704,704,704,66570,17,DN1,North,2024-07-02,Approved,380569541,380569541
706,706,706,11015,48,DN1,South,2024-06-17,Approved,108240033,108240033
707,707,707,71813,39,CT1,South,2024-07-09,Approved,153352734,153352734
710,710,710,72292,35,HN1,South,2024-02-23,Approved,79507995,79507995
712,712,712,14158,48,DN1,North,2024-01-11,Approved,28947094,28947094
715,715,715,16970,35,HCM2,Central,2024-04-29,Approved,194387804,194387804
718,718,718,56540,7,HCM1,South,2024-11-18,Approved,389651667,389651667
721,721,721,85880,18,HCM1,South,2024-01-25,Approved,222710655,222710655
725,725,725,50943,31,DN1,Central,2024-02-22,Approved,131590593,131590593
726,726,726,57926,2,CT1,Central,2024-07-27,Approved,238898326,238898326
727,727,727,39189,16,HCM1,South,2024-12-09,Approved,424849399,424849399
728,728,728,22763,9,HCM1,Central,2024-03-27,Approved,283004751,283004751
734,734,734,33574,36,DN1,North,2024-09-06,Approved,85480359,85480359
738,738,738,14809,45,HCM1,Central,2024-02-20,Approved,20370637,20370637
739,739,739,42201,34,HCM1,South,2024-12-30,Approved,241180075,241180075
740,740,740,63330,9,HN1,South,2024-12-28,Approved,143257100,143257100
741,741,741,23456,24,HCM1,Central,2024-12-20,Approved,467880731,467880731
743,743,743,48765,7,DN1,Central,2024-09-13,Approved,236482968,236482968
746,746,746,63932,3,CT1,South,2024-09-29,Approved,382940997,382940997
750,750,750,80080,44,CT1,North,2024-08-31,Approved,367471751,367471751
755,755,755,24489,36,HCM1,North,2024-07-16,Approved,315254541,315254541
758,758,758,53125,35,HCM1,South,2024-01-16,Approved,155602073,155602073
759,759,759,59922,13,CT1,South,2024-12-20,Approved,383524950,383524950
764,764,764,34285,10,DN1,South,2024-03-04,Approved,437205182,437205182
765,765,765,47626,46,HCM2,South,2024-04-11,Approved,231672841,231672841
766,766,766,52808,13,HCM2,South,2024-04-04,Approved,239618571,239618571
768,768,768,63871,38,HN1,Central,2024-03-28,Approved,116921099,116921099
771,771,771,25254,22,CT1,South,2024-10-18,Approved,316250466,316250466
774,774,774,49764,14,HCM2,Central,2024-05-03,Approved,347159918,347159918
776,776,776,47441,35,HCM1,Central,2024-04-28,Approved,88480948,88480948
777,777,777,63682,25,HCM2,Central,2024-10-07,Approved,62428905,62428905
779,779,779,91317,47,HCM2,North,2024-05-10,Approved,31671368,31671368
782,782,782,16949,12,CT1,Central,2024-12-19,Approved,44966680,44966680
783,783,783,65393,24,HCM2,South,2024-03-29,Approved,56926855,56926855
786,786,786,35934,25,DN1,North,2024-05-31,Approved,82059109,82059109
788,788,788,71886,26,HN1,North,2024-11-09,Approved,466982298,466982298
794,794,794,80173,47,CT1,North,2024-11-19,Approved,104286148,104286148
795,795,795,80390,17,HCM1,North,2024-09-29,Approved,235255558,235255558
796,796,796,62329,40,HCM2,Central,2024-12-29,Approved,354611922,354611922
800,800,800,95392,42,CT1,South,2024-08-05,Approved,327917106,327917106
802,802,802,29963,30,HCM1,Central,2024-06-11,Approved,372501422,372501422
803,803,803,65123,41,HN1,South,2024-06-09,Approved,41265563,41265563
804,804,804,83477,34,DN1,Central,2024-09-11,Approved,268636475,268636475
805,805,805,24388,37,CT1,South,2025-01-06,Approved,55893537,55893537
806,806,806,15569,6,HCM2,South,2024-04-15,Approved,16196541,16196541
809,809,809,22015,32,HCM2,South,2024-04-11,Approved,204083675,204083675
816,816,816,16090,43,HCM2,South,2024-10-17,Approved,299481664,299481664
818,818,818,32415,13,DN1,North,2024-03-05,Approved,151956137,151956137
820,820,820,68243,36,DN1,North,2024-06-12,Approved,289269763,289269763
821,821,821,51240,47,HN1,South,2024-10-11,Approved,208295018,208295018
822,822,822,93807,9,HCM2,South,2024-04-21,Approved,42422012,42422012
828,828,828,33954,25,HCM1,South,2024-10-20,Approved,225786473,225786473
830,830,830,97044,45,HN1,Central,2025-01-02,Approved,236615845,236615845
831,831,831,97505,22,HN1,North,2024-03-01,Approved,374159917,374159917
835,835,835,49749,29,HCM1,South,2024-07-05,Approved,259195216,259195216
836,836,836,26907,41,DN1,Central,2024-04-30,Approved,94404018,94404018
839,839,839,91818,34,HCM1,Central,2024-10-30,Approved,405872323,405872323
840,840,840,33624,28,HCM2,South,2024-07-16,Approved,214692454,214692454
843,843,843,32574,23,HCM1,South,2024-07-02,Approved,117842607,117842607
846,846,846,20478,4,HCM1,South,2024-12-20,Approved,34116439,34116439
847,847,847,65645,26,DN1,North,2024-11-16,Approved,304067455,304067455
852,852,852,89104,20,CT1,Central,2024-05-26,Approved,29864762,29864762
855,855,855,60428,32,DN1,South,2024-10-28,Approved,100246897,100246897
858,858,858,92558,41,HCM1,Central,2024-03-11,Approved,32122937,32122937
859,859,859,10055,17,HCM2,Central,2024-11-09,Approved,446119990,446119990
860,860,860,18717,26,HN1,South,2024-02-28,Approved,41558213,41558213
862,862,862,83686,7,DN1,South,2024-10-17,Approved,126983275,126983275
863,863,863,77661,42,HCM2,North,2024-12-04,Approved,345028695,345028695
864,864,864,54247,26,DN1,North,2024-01-13,Approved,413043296,413043296
866,866,866,14621,10,HN1,North,2024-12-03,Approved,166424994,166424994
867,867,867,25034,45,HCM2,South,2024-10-27,Approved,336773479,336773479
873,873,873,65658,4,HN1,South,2024-11-29,Approved,393512012,393512012
876,876,876,98869,28,HCM1,Central,2024-09-03,Approved,41635856,41635856
880,880,880,83688,49,DN1,Central,2024-07-11,Approved,181672824,181672824
881,881,881,48518,47,DN1,South,2024-11-17,Approved,254295522,254295522
882,882,882,20267,38,CT1,Central,2024-04-17,Approved,188950422,188950422
884,884,884,60448,47,HCM2,Central,2024-10-16,Approved,137899686,137899686
888,888,888,14632,26,HCM2,North,2024-02-20,Approved,195493565,195493565
893,893,893,92152,11,HCM2,North,2024-09-06,Approved,394322320,394322320
896,896,896,36069,27,DN1,Central,2024-10-25,Approved,138011553,138011553
897,897,897,89905,34,HCM2,South,2024-08-03,Approved,292996832,292996832
899,899,899,83479,32,HCM2,North,2024-10-11,Approved,297128457,297128457
900,900,900,87735,21,CT1,North,2024-02-28,Approved,116236129,116236129
903,903,903,82274,6,DN1,North,2024-05-02,Approved,275360888,275360888
906,906,906,72981,18,HN1,North,2024-07-17,Approved,205942895,205942895
907,907,907,94659,14,HN1,Central,2024-11-23,Approved,28308338,28308338
910,910,910,44529,13,HCM1,North,2024-10-07,Approved,212525110,212525110
915,915,915,38024,6,HCM1,North,2024-01-30,Approved,81868172,81868172
920,920,920,82303,43,CT1,Central,2024-07-18,Approved,420987902,420987902
923,923,923,66138,17,CT1,South,2024-07-06,Approved,245492477,245492477
929,929,929,34818,28,HN1,Central,2024-06-17,Approved,119779175,119779175
930,930,930,14324,44,DN1,North,2024-11-02,Approved,60607742,60607742
932,932,932,19111,41,HCM1,North,2024-03-20,Approved,263836681,263836681
933,933,933,48110,16,HN1,North,2024-01-25,Approved,142369216,142369216
934,934,934,26389,4,DN1,South,2024-12-01,Approved,23397229,23397229
