LoanID,LeadID,CustomerID,ProductID,Branch,Region,DisbursementDate,DisbursementAmount
285,285,60108,25,HCM2,Central,2024-12-08,284799810
286,286,48467,23,HN1,South,2024-09-08,140325394
303,303,57333,3,HCM1,Central,2024-05-08,20600019
317,317,55714,34,HCM2,Central,2024-12-05,223593975
320,320,66491,7,DN1,Central,2024-12-02,158370684
324,324,46212,1,CT1,South,2024-04-28,290644272
325,325,53525,47,HCM1,North,2024-01-13,83103714
337,337,20492,11,HCM1,Central,2024-07-02,91342605
342,342,44584,8,DN1,South,2024-05-31,98697722
347,347,46631,1,CT1,South,2024-11-28,174369272
352,352,45777,5,HCM1,North,2024-06-05,81195522
354,354,92074,24,HN1,North,2024-05-06,283262305
368,368,98891,42,DN1,North,2024-05-29,42687289
370,370,99912,37,DN1,Central,2024-12-22,276300720
380,380,42097,29,HN1,Central,2024-07-27,12408040
387,387,65609,22,HCM2,South,2024-02-15,284480484
390,390,80313,37,HCM2,Central,2024-07-22,89671425
391,391,63006,41,HN1,South,2024-03-09,235237422
393,393,78027,13,CT1,North,2024-06-09,57599432
395,395,29508,45,HCM1,South,2024-12-21,280227135
408,408,82615,44,HCM1,South,2024-04-08,108986083
415,415,89634,35,DN1,North,2024-12-27,99009609
419,419,18308,11,HCM2,North,2024-02-13,46991207
426,426,26896,24,DN1,Central,2024-10-15,39850613
437,437,19662,19,HCM1,North,2024-06-21,221702444
442,442,77215,47,CT1,South,2024-11-09,246418630
449,449,64340,17,HN1,Central,2024-06-27,62688718
450,450,54078,20,HCM1,North,2024-05-16,36222533
453,453,88781,12,CT1,Central,2024-12-29,255684155
457,457,45247,26,HCM2,South,2024-09-11,42254050
458,458,72752,48,HN1,North,2024-04-24,286980099
466,466,75417,33,HN1,South,2024-03-22,177849977
472,472,26364,17,DN1,North,2024-05-04,225748364
473,473,14611,14,HCM2,North,2024-04-09,18900306
476,476,67679,28,HCM1,Central,2024-03-03,221417341
480,480,70890,7,CT1,North,2024-09-17,221274246
483,483,69275,48,HCM2,North,2024-05-28,61747913
487,487,14000,17,CT1,Central,2025-01-02,221532907
489,489,48304,49,HCM2,Central,2024-06-13,71791650
492,492,99643,8,CT1,South,2024-09-14,239361913
500,500,98668,31,HCM2,Central,2024-12-14,150068508
502,502,85353,32,DN1,Central,2024-08-26,293309490
509,509,99588,42,CT1,Central,2024-02-21,218424494
510,510,48513,21,HN1,North,2024-12-04,181059303
512,512,21338,12,HN1,South,2025-01-06,172464779
515,515,43496,24,DN1,North,2024-02-15,210514227
522,522,57295,8,HCM1,North,2024-02-28,218009221
529,529,44911,3,HCM2,South,2024-04-15,123279049
530,530,69031,1,HCM2,North,2024-09-13,119533697
531,531,98726,36,HCM2,Central,2024-12-11,248161798
532,532,17357,25,HN1,North,2024-01-23,118058031
534,534,71476,1,HCM2,North,2024-07-28,180287417
540,540,78450,5,CT1,South,2024-08-13,182272058
561,561,61934,13,HCM1,Central,2024-01-10,266053146
562,562,74895,45,HCM1,North,2024-03-10,104985586
566,566,15486,19,CT1,North,2024-01-12,238832863
567,567,18335,38,CT1,North,2024-05-02,125138393
569,569,99112,2,DN1,Central,2024-04-18,5636024
574,574,37192,16,CT1,North,2024-02-24,51732411
577,577,99780,2,HCM2,Central,2024-11-21,208374741
578,578,31545,26,CT1,South,2024-07-31,92779724
583,583,33714,39,HCM2,North,2024-10-21,206152892
584,584,48102,3,DN1,South,2024-04-19,296776160
588,588,82267,27,HN1,Central,2024-05-31,293534771
595,595,11542,30,HCM1,Central,2024-10-30,31797453
596,596,31677,13,HN1,South,2024-10-07,271532090
602,602,29065,31,HCM2,Central,2024-01-14,169623214
605,605,64693,32,DN1,North,2024-08-24,210863671
606,606,36962,10,CT1,South,2024-04-25,83196675
613,613,50262,28,HN1,South,2024-12-17,54583218
618,618,29870,30,HCM1,North,2024-11-15,123927142
628,628,96769,18,HCM2,Central,2025-01-08,281338688
629,629,19435,34,HN1,North,2024-04-24,67128680
635,635,35470,31,HCM1,North,2024-09-01,187996652
636,636,52344,49,HN1,South,2024-07-15,281333143
639,639,49298,18,CT1,Central,2024-08-21,167740986
640,640,90219,32,HN1,Central,2024-04-07,124452230
651,651,30559,29,HCM1,South,2024-01-08,82448802
652,652,71642,28,HCM2,North,2024-08-04,177859030
655,655,40354,43,HCM1,Central,2024-05-08,59299573
661,661,62638,4,CT1,South,2024-04-29,284762329
664,664,29087,15,HCM1,Central,2024-06-30,252396096
678,678,94665,25,HN1,South,2024-05-06,134823629
684,684,57605,43,HCM1,Central,2024-06-17,30229298
685,685,48088,13,DN1,Central,2024-07-18,278314633
692,692,44349,4,HCM2,North,2024-04-27,149463936
698,698,60990,20,HCM2,North,2024-07-06,24248708
703,703,33793,42,HCM2,Central,2024-11-04,10294512
706,706,11015,48,DN1,South,2024-06-19,108169073
710,710,72292,35,HN1,South,2024-02-27,189409396
721,721,85880,18,HCM1,South,2024-02-01,135571866
726,726,57926,2,CT1,Central,2024-08-09,232573874
727,727,39189,16,HCM1,South,2024-12-03,111475381
728,728,22763,9,HCM1,Central,2024-03-21,246378833
734,734,33574,36,DN1,North,2024-09-19,246917711
738,738,14809,45,HCM1,Central,2024-03-06,258299329
741,741,23456,24,HCM1,Central,2024-12-26,127686380
746,746,63932,3,CT1,South,2024-10-11,81581967
755,755,24489,36,HCM1,North,2024-07-14,94632199
759,759,59922,13,CT1,South,2024-12-22,241633386
765,765,47626,46,HCM2,South,2024-04-22,263657223
766,766,52808,13,HCM2,South,2024-04-15,55340661
771,771,25254,22,CT1,South,2024-11-04,49699126
779,779,91317,47,HCM2,North,2024-05-24,234645982
788,788,71886,26,HN1,North,2024-11-06,91539748
794,794,80173,47,CT1,North,2024-11-26,278925704
796,796,62329,40,HCM2,Central,2025-01-01,128650607
800,800,95392,42,CT1,South,2024-08-17,113311569
802,802,29963,30,HCM1,Central,2024-06-25,275719453
803,803,65123,41,HN1,South,2024-06-07,116557095
804,804,83477,34,DN1,Central,2024-09-21,89564950
835,835,49749,29,HCM1,South,2024-07-03,285794557
840,840,33624,28,HCM2,South,2024-07-11,11558035
843,843,32574,23,HCM1,South,2024-07-01,260628818
846,846,20478,4,HCM1,South,2024-12-28,214773155
852,852,89104,20,CT1,Central,2024-06-11,17633945
855,855,60428,32,DN1,South,2024-11-05,163027849
859,859,10055,17,HCM2,Central,2024-11-17,17393740
860,860,18717,26,HN1,South,2024-02-22,105241020
864,864,54247,26,DN1,North,2024-01-19,260899763
867,867,25034,45,HCM2,South,2024-11-09,100061677
873,873,65658,4,HN1,South,2024-12-12,19329569
880,880,83688,49,DN1,Central,2024-07-06,56249277
884,884,60448,47,HCM2,Central,2024-10-24,158945263
888,888,14632,26,HCM2,North,2024-02-14,206227957
896,896,36069,27,DN1,Central,2024-11-04,122711838
897,897,89905,34,HCM2,South,2024-08-11,172341049
899,899,83479,32,HCM2,North,2024-10-22,61193882
910,910,44529,13,HCM1,North,2024-10-10,168440113
915,915,38024,6,HCM1,North,2024-02-14,36283284
920,920,82303,43,CT1,Central,2024-07-17,287957182
929,929,34818,28,HN1,Central,2024-06-15,62169536
938,938,97886,12,HN1,Central,2024-01-18,248389902
942,942,63441,18,HCM2,Central,2024-12-07,260543746
943,943,10846,19,HCM2,Central,2024-06-14,157132429
948,948,16469,6,HCM1,North,2024-09-14,166374323
962,962,42254,8,HN1,North,2024-05-03,105697806
963,963,57362,30,CT1,South,2024-03-02,286106287
964,964,30128,32,HCM1,Central,2024-07-15,253625555
968,968,97958,1,HCM1,Central,2024-11-23,83016815
969,969,19865,43,DN1,North,2024-05-19,252779322
970,970,12219,39,HCM1,Central,2024-03-04,229025315
972,972,15287,20,HCM2,Central,2024-12-02,197884823
981,981,52078,36,CT1,Central,2024-03-08,113859699
984,984,10235,28,CT1,Central,2024-04-14,213409377
985,985,52929,42,CT1,South,2024-06-20,206457827
991,991,83698,2,HCM2,South,2024-02-03,268425262
993,993,46159,48,HCM1,North,2024-03-26,22593678
994,994,53925,27,CT1,South,2024-03-02,96281425
995,995,15951,22,HCM1,North,2024-04-25,187482094
997,997,18007,27,DN1,Central,2024-03-06,98177685
1008,1008,26984,1,HN1,Central,2024-08-25,243975314
1015,1015,39287,20,HCM2,South,2024-06-26,223982647
1019,1019,82101,35,HCM2,South,2024-08-08,233183232
1032,1032,21302,4,HN1,Central,2024-04-28,45304034
1033,1033,77506,1,DN1,Central,2024-07-29,11138708
1039,1039,66819,10,DN1,North,2024-08-03,99657658
1047,1047,61356,34,DN1,South,2024-12-17,178006674
1049,1049,76656,41,HN1,North,2024-05-14,177269034
1050,1050,54028,29,HN1,South,2024-04-19,153592239
1054,1054,12336,21,CT1,South,2024-11-09,107405247
1059,1059,53872,45,HCM1,South,2024-11-25,211652462
1063,1063,39486,26,DN1,South,2024-11-12,39234482
1075,1075,49666,8,HCM1,South,2024-08-12,33944126
1076,1076,85683,41,DN1,Central,2024-04-11,89181986
1084,1084,86077,27,DN1,North,2024-05-22,113384478
1093,1093,95451,27,DN1,South,2024-10-08,133407476
1100,1100,10126,42,DN1,South,2024-06-10,132278582
1101,1101,62329,4,HN1,South,2024-06-25,276676324
1103,1103,75310,34,HCM1,North,2024-12-22,58299306
1107,1107,78904,45,CT1,North,2024-10-13,50105783
1113,1113,32116,10,DN1,Central,2024-05-16,208271780
1126,1126,67545,38,HN1,North,2024-12-29,104548774
1131,1131,73731,13,HCM1,North,2024-02-23,216474333
1136,1136,18666,48,HCM1,South,2024-07-28,155320306
1141,1141,80507,36,HCM1,Central,2024-12-17,211197514
1151,1151,29097,42,HN1,Central,2024-02-07,239419091
1157,1157,29816,11,HN1,North,2024-09-26,158028808
1179,1179,99106,32,HN1,Central,2024-12-08,268579493
1198,1198,88623,12,HN1,North,2024-05-22,265511792
1199,1199,85629,48,HN1,North,2024-07-20,159168082
1206,1206,65106,15,HCM1,Central,2024-09-16,225079783
1210,1210,84055,4,HCM2,Central,2024-03-02,211772486
1214,1214,78836,43,DN1,North,2024-06-20,108659502
1216,1216,49986,40,HCM1,North,2024-05-02,219199686
1222,1222,44911,24,CT1,North,2024-05-26,282059594
1231,1231,76358,5,HCM2,Central,2024-01-19,199889928
1233,1233,57057,16,HCM1,Central,2024-12-09,91254512
1238,1238,70500,35,DN1,South,2024-02-05,167804637
1241,1241,46220,16,CT1,South,2024-01-17,237230101
1245,1245,41419,20,HN1,North,2025-01-09,114603623
1249,1249,97955,23,HCM2,Central,2024-07-03,41742450
1253,1253,24596,8,HN1,Central,2024-08-28,257643283
1254,1254,43572,7,HCM2,North,2024-09-28,50131515
1255,1255,88757,14,HN1,South,2024-10-03,29717510
1259,1259,17083,18,HCM1,South,2024-04-27,55149267
1278,1278,27685,41,HCM1,North,2024-01-20,22501784
1287,1287,67384,33,HN1,South,2024-04-26,119629922
1292,1292,88411,23,HN1,Central,2024-01-22,227104983
1294,1294,58756,23,HCM2,South,2024-09-01,140785420
1303,1303,56828,8,DN1,Central,2024-05-16,105468847
1309,1309,99563,6,HCM1,South,2024-04-14,228563331
1310,1310,39373,5,CT1,Central,2024-02-21,94382076
1312,1312,96145,41,HCM2,South,2024-05-26,168868491
1322,1322,63002,7,HCM2,North,2024-12-25,235440656
1335,1335,84478,43,HCM1,Central,2024-04-20,240440192
1337,1337,41987,27,DN1,North,2024-02-14,106902909
1339,1339,22112,47,HCM2,Central,2024-10-25,275905808
1342,1342,48890,27,HCM2,Central,2024-10-08,173121989
1347,1347,25048,20,HCM2,North,2024-12-17,131972537
1356,1356,23350,15,CT1,Central,2024-08-21,57102474
1362,1362,85186,48,HCM1,Central,2024-09-16,129720628
1364,1364,30581,41,HCM1,Central,2024-03-16,251877866
1370,1370,45772,19,HCM1,South,2024-06-04,178949137
1372,1372,59481,25,DN1,South,2024-07-20,245998427
1377,1377,54623,21,CT1,Central,2024-11-07,241486893
1397,1397,97833,9,CT1,Central,2024-01-16,274721935
1412,1412,46062,28,HCM1,North,2024-03-19,143147902
1416,1416,29426,29,DN1,Central,2024-04-14,239422207
1421,1421,99613,28,CT1,North,2024-07-21,219015883
1424,1424,45435,41,DN1,North,2024-10-15,298375444
1433,1433,66846,32,HN1,South,2024-06-01,254102324
1435,1435,54547,33,HN1,South,2024-09-10,19085170
1438,1438,17564,43,CT1,North,2024-02-25,197423023
1444,1444,62393,33,HCM2,North,2024-12-11,34882098
1453,1453,26371,19,CT1,South,2024-09-05,249673670
1459,1459,72187,38,CT1,South,2024-07-13,41374104
1461,1461,43039,27,HN1,South,2024-03-22,169666861
1463,1463,93691,8,HN1,South,2024-12-17,165877070
1465,1465,20616,42,HCM1,Central,2024-11-11,206675084
1468,1468,13430,6,HCM2,South,2024-04-01,40577433
1472,1472,95680,49,HCM1,North,2024-08-13,28948500
1477,1477,44801,18,CT1,North,2024-07-09,255099030
1480,1480,50600,43,HCM1,Central,2024-04-15,88232828
1501,1501,66979,1,HN1,Central,2024-11-04,43080363
1502,1502,91470,3,HCM1,North,2024-04-02,177397362
1521,1521,72483,19,CT1,North,2024-03-09,205120843
1522,1522,28297,35,HN1,North,2024-11-15,260264983
1526,1526,17657,4,CT1,North,2024-08-17,100763125
1528,1528,35425,27,HCM1,Central,2024-10-02,95540747
1531,1531,38831,25,HCM1,North,2024-08-12,19894285
1540,1540,44701,36,HCM1,South,2024-01-14,195823709
1546,1546,75160,16,HCM1,Central,2024-12-17,189241256
1551,1551,56542,6,DN1,South,2024-04-01,202161706
1561,1561,31754,12,CT1,North,2024-08-30,253038098
1562,1562,13972,23,CT1,Central,2024-09-04,293208414
1569,1569,96988,47,CT1,Central,2024-08-16,134847537
1570,1570,55648,37,HCM1,Central,2024-06-30,76433706
1577,1577,40561,23,DN1,South,2024-05-11,235900419
1583,1583,75082,37,HCM1,North,2024-11-21,53669106
1588,1588,96206,22,HN1,Central,2024-12-21,217316940
1590,1590,12469,30,DN1,Central,2024-03-31,93337854
1609,1609,67932,28,CT1,Central,2024-05-04,107308789
1614,1614,85418,47,DN1,Central,2024-03-13,113016484
1616,1616,44832,33,HN1,Central,2024-02-18,86838927
1617,1617,41966,19,DN1,Central,2024-11-09,195069094
1627,1627,39257,1,CT1,North,2024-04-10,190502994
1629,1629,52207,29,DN1,North,2024-08-11,85928654
1636,1636,23507,39,CT1,South,2024-03-21,55364447
1639,1639,55539,17,HCM1,South,2024-06-15,19508208
1643,1643,73888,26,DN1,Central,2024-11-09,195983060
1647,1647,86919,49,HCM2,Central,2024-04-07,63599488
1649,1649,33821,1,CT1,North,2024-02-21,202826586
1654,1654,97266,3,CT1,South,2024-10-07,142496843
1668,1668,24288,41,HCM1,North,2024-05-08,159369011
1670,1670,16540,41,DN1,South,2024-01-28,47750867
1671,1671,91958,7,DN1,South,2024-07-27,188752785
1674,1674,85932,19,HN1,South,2024-01-20,91030204
1686,1686,43756,48,DN1,South,2024-03-03,105580449
1692,1692,58901,12,HN1,South,2024-04-08,269323656
1694,1694,42196,40,HCM2,Central,2024-12-03,177299388
1698,1698,29982,49,HCM2,South,2024-05-07,290007631
1701,1701,58290,2,HCM1,North,2024-02-15,271165750
1704,1704,92711,15,HCM1,South,2024-12-09,9016284
1713,1713,46444,40,DN1,Central,2024-12-09,137951598
1714,1714,78916,4,CT1,North,2024-09-08,208261796
1717,1717,92970,43,DN1,Central,2024-02-13,158495933
1720,1720,49110,30,CT1,Central,2024-06-11,76828429
1733,1733,38541,9,HCM1,South,2024-10-12,65542904
1742,1742,64615,19,DN1,North,2024-05-11,201323922
1747,1747,36589,9,HCM1,Central,2024-09-29,217965847
1754,1754,31804,31,DN1,North,2024-05-31,193865083
1763,1763,79298,12,DN1,North,2024-04-30,69683707
1765,1765,85304,13,DN1,South,2024-06-03,71639417
1766,1766,53408,11,HCM2,South,2024-02-15,290762306
1770,1770,84319,40,HCM1,South,2024-04-01,108390369
1773,1773,84441,30,HN1,South,2024-09-25,176008305
1781,1781,55004,17,HCM2,South,2024-02-05,242420545
1783,1783,98652,2,HCM2,South,2024-08-18,66862308
1784,1784,66985,12,HCM1,North,2024-06-20,57243598
1792,1792,78577,3,DN1,North,2024-06-17,192538107
1796,1796,72768,1,HCM2,Central,2024-11-25,32006804
1798,1798,81626,45,DN1,North,2024-04-13,264981264
1806,1806,36289,7,DN1,North,2024-05-20,270419745
1808,1808,35683,10,HCM2,South,2024-06-28,24717855
1818,1818,84137,37,CT1,South,2024-11-29,63430449
1830,1830,36745,35,HCM2,Central,2024-04-06,212027054
1833,1833,62579,46,DN1,North,2024-12-29,163476979
1834,1834,80316,48,CT1,South,2024-01-18,208038230
1837,1837,12356,46,HCM2,South,2024-03-22,134818730
1839,1839,99899,29,CT1,North,2024-03-21,163039336
1844,1844,47412,18,CT1,Central,2024-01-08,176507428
1845,1845,12920,2,CT1,Central,2024-10-08,270639508
1848,1848,18946,33,HCM1,Central,2024-05-20,72441924
1856,1856,84131,27,HCM2,South,2024-08-12,229037848
1871,1871,53585,11,HCM1,North,2024-05-06,74063065
1872,1872,36958,30,HN1,Central,2024-11-06,62887203
1876,1876,22201,38,HCM2,North,2024-05-24,12115375
1881,1881,96652,32,HCM2,Central,2024-08-31,11787839
1888,1888,33279,16,CT1,South,2024-03-10,121910263
1891,1891,76061,10,HCM2,South,2024-06-24,69244116
1895,1895,36916,29,HCM2,North,2024-09-01,218748510
1897,1897,54965,43,HN1,South,2024-03-19,241429184
1904,1904,79350,19,HCM2,Central,2024-07-07,108558274
1914,1914,62233,12,HN1,Central,2024-02-16,142697758
1915,1915,54738,4,CT1,North,2024-09-18,146027096
1927,1927,92495,18,HCM2,North,2024-02-18,282210868
1931,1931,65204,44,HN1,North,2024-03-14,141078016
1934,1934,25563,41,CT1,South,2024-01-21,49164413
1946,1946,91537,12,HCM2,Central,2024-08-15,116019143
1964,1964,11239,3,DN1,Central,2024-09-12,251747666
1967,1967,99393,30,HCM1,North,2024-03-31,29088202
1992,1992,98009,46,DN1,Central,2024-07-10,259070248
1994,1994,38625,7,HN1,Central,2025-01-02,35780426
1995,1995,91040,16,HCM2,South,2024-11-22,242492197
1999,1999,60138,27,DN1,North,2024-03-08,275145981
2001,2001,47208,24,DN1,Central,2024-02-17,19411443
2008,2008,52287,47,HCM2,North,2024-05-27,87336449
2025,2025,39165,11,DN1,North,2024-08-16,198732593
2026,2026,77203,34,DN1,Central,2024-04-20,129370762
2029,2029,46321,34,HCM1,Central,2024-04-10,154483431
2034,2034,11367,32,HN1,South,2024-07-26,277031231
2039,2039,19108,37,HCM2,North,2024-10-16,257234355
2043,2043,93360,44,HCM2,South,2024-03-05,58894100
2060,2060,31636,26,DN1,South,2024-08-16,158015957
2062,2062,63551,4,DN1,South,2024-12-18,292378596
2069,2069,91709,2,HCM2,South,2024-09-12,259295291
2071,2071,36987,11,CT1,South,2024-05-16,13541962
2072,2072,88714,28,HCM2,South,2024-05-29,227440524
2076,2076,74106,38,HCM2,South,2024-02-21,69311923
2080,2080,49310,24,HN1,North,2024-11-11,111767292
2084,2084,55379,23,HN1,Central,2024-06-22,106766387
2088,2088,56413,31,DN1,North,2024-12-02,285715604
2090,2090,60115,42,HCM1,North,2024-06-28,80003664
2094,2094,52652,13,HN1,Central,2024-05-06,262609007
2096,2096,23467,48,DN1,South,2024-11-29,72168653
2104,2104,96365,15,HCM2,Central,2024-11-14,103598335
2127,2127,33669,16,HCM2,Central,2024-08-15,108344224
2130,2130,19435,25,CT1,South,2024-04-01,61304970
2136,2136,41401,49,HCM2,North,2024-12-03,117364748
2142,2142,41910,14,HN1,North,2024-06-15,91487935
2143,2143,46041,31,HCM1,Central,2024-12-31,196378860
2145,2145,75681,39,HCM1,Central,2024-03-17,128351854
2155,2155,51621,28,HCM2,North,2024-05-14,126030790
2171,2171,42117,12,CT1,North,2024-02-09,256525773
2177,2177,61501,41,DN1,South,2024-04-26,154845551
2178,2178,70946,31,DN1,Central,2024-08-30,183807429
2191,2191,64624,36,HCM1,South,2024-01-25,114266418
2198,2198,20756,8,DN1,North,2024-07-16,111846820
2202,2202,24484,46,HN1,North,2024-03-22,239805731
2204,2204,44503,8,HCM2,North,2024-11-30,24453370
2205,2205,83794,26,DN1,Central,2024-03-17,291334533
2207,2207,84069,13,HCM1,North,2024-10-28,214990279
2208,2208,15249,39,HCM2,Central,2024-06-27,130276951
2218,2218,20526,39,HCM1,North,2025-01-01,284827010
2223,2223,98733,30,DN1,Central,2024-10-11,253032259
2226,2226,56479,43,HCM2,Central,2024-10-17,164772383
2227,2227,30103,21,HCM1,South,2024-02-12,11125568
2234,2234,39301,15,HCM1,Central,2024-10-16,51418028
2237,2237,28752,44,HCM2,South,2024-08-17,138766920
2239,2239,23395,23,HCM1,North,2024-11-15,35091529
2240,2240,95957,30,CT1,North,2024-04-09,142833905
2247,2247,29169,11,DN1,South,2024-04-21,295361387
2252,2252,45585,15,CT1,Central,2024-06-27,226566461
2260,2260,46035,12,CT1,North,2024-01-29,148137711
2261,2261,74977,1,HN1,Central,2024-04-14,153134149
2263,2263,75450,40,HN1,North,2024-04-25,119744023
2274,2274,70631,21,HN1,South,2024-08-31,183684536
2281,2281,50461,45,HN1,Central,2024-08-26,271163433
2283,2283,88222,41,DN1,Central,2024-12-25,42145438
2286,2286,66154,11,HCM1,Central,2024-01-07,271436535
2290,2290,65249,2,DN1,North,2024-05-16,108464673
2294,2294,73740,28,HCM1,South,2024-06-03,240381666
2303,2303,24716,4,DN1,North,2024-03-31,66355590
2305,2305,45298,26,CT1,South,2024-12-20,60996904
2307,2307,33429,43,HN1,North,2024-11-03,96541351
2310,2310,58244,32,CT1,North,2024-04-27,227851672
2311,2311,27347,17,HCM1,South,2024-06-13,161816133
2318,2318,21871,40,HN1,North,2024-05-06,55552768
2326,2326,88213,12,HCM2,North,2024-06-28,257740461
2330,2330,70545,4,HCM1,South,2024-10-09,71958799
2334,2334,89364,9,HN1,South,2024-12-03,290233851
2337,2337,59841,12,DN1,North,2024-08-08,42740143
2346,2346,60331,42,CT1,South,2024-03-01,143947011
2353,2353,64823,3,HCM1,Central,2024-02-15,254868543
2355,2355,53108,5,HN1,North,2024-08-29,83813310
2356,2356,76918,3,HCM2,North,2024-02-13,190102142
2359,2359,78828,49,HCM2,North,2024-03-09,98772255
2360,2360,22411,15,HCM2,North,2024-02-14,173760288
2364,2364,42371,44,HN1,Central,2024-05-28,72411340
2367,2367,61196,34,HN1,South,2024-10-29,28993242
2371,2371,41174,12,HCM2,Central,2024-02-09,239424593
2379,2379,99818,2,CT1,North,2024-09-11,187411197
2380,2380,16548,30,HCM1,South,2024-10-26,70544294
2384,2384,15542,20,HN1,Central,2024-03-06,193724465
2403,2403,35121,47,HCM2,Central,2024-01-21,130998293
2413,2413,65316,23,CT1,North,2024-11-01,22981923
2414,2414,74041,3,HCM2,North,2024-07-23,200862194
2425,2425,99097,38,HCM1,North,2024-07-14,211411021
2440,2440,73936,13,DN1,South,2024-08-13,244529961
2444,2444,70920,9,HN1,Central,2024-02-19,46553029
2445,2445,73530,39,CT1,North,2024-02-07,246800423
2454,2454,54857,22,HCM1,Central,2024-08-22,9462966
2458,2458,80067,1,CT1,North,2024-05-27,244244891
2459,2459,74027,1,HN1,North,2024-01-30,228485706
2462,2462,39956,21,DN1,Central,2024-03-25,145972238
2468,2468,88815,45,CT1,Central,2024-05-29,266881713
2479,2479,52600,48,HCM2,South,2024-10-13,178488448
2498,2498,74379,23,HCM1,North,2024-07-09,97510300
2499,2499,67866,25,HCM1,North,2024-03-27,269484247
2507,2507,80119,6,HN1,South,2024-03-09,137827234
2509,2509,64093,4,HCM1,South,2024-04-20,229741600
2518,2518,74946,43,HCM2,North,2024-03-08,20246163
2520,2520,71332,44,HCM1,South,2024-08-21,78650760
2525,2525,47643,20,HCM2,Central,2024-08-29,98366238
2534,2534,92566,7,HN1,Central,2024-12-08,188127440
2547,2547,34858,4,HCM2,North,2024-12-17,82041210
2549,2549,54638,16,HN1,Central,2024-05-20,215677534
2556,2556,77260,32,DN1,North,2024-05-30,50396735
2565,2565,15926,31,CT1,South,2024-08-08,129092975
2568,2568,39806,45,HCM1,North,2024-06-16,247998550
2578,2578,31727,10,HCM2,South,2024-10-09,31052293
2582,2582,46735,29,HN1,Central,2024-09-21,64985718
2585,2585,35498,43,HCM1,South,2024-11-18,99964079
2587,2587,41656,23,HCM1,North,2024-12-25,73004583
