LeadID,SignupDate,CustomerID,ProductID,Branch,Region,SourceChannel,Campaign,LeadStatus,IsConverted,ConvertedTransactionID
33,2024-06-01,74110,118,HCM2,South,Tiktok Ads,SummerSale,NoAnswer,0,
34,2024-06-19,63554,37,HCM1,Central,Facebook Ads,SummerSale,NoAnswer,0,
35,2024-09-10,30936,86,HCM1,Central,Google Ads,Tet2024,Converted,1,509.0
36,2024-06-21,14426,71,HCM1,South,Tiktok Ads,BackToSchool,Converted,1,466.0
37,2024-06-06,98839,151,HCM2,North,Email Marketing,NewProductLaunch,New,0,
38,2024-02-03,37606,169,HCM2,South,Zalo OA,BackToSchool,NoAnswer,0,
39,2024-12-12,57832,93,DN1,North,Zalo OA,FlashSaleWeekend,Converted,1,2541.0
40,2024-02-07,38151,80,CT1,Central,Tiktok Ads,FlashSaleWeekend,New,0,
41,2024-08-14,89303,102,CT1,Central,Website SEO,SummerSale,Converted,1,1840.0
42,2024-10-29,21308,156,DN1,South,Facebook Ads,12.12,Calling,0,
43,2024-04-23,72522,176,DN1,South,Facebook Ads,SummerSale,Converted,1,1627.0
44,2024-10-16,55671,166,HCM1,North,Tiktok Ads,BackToSchool,Converted,1,1115.0
45,2024-04-27,12204,159,DN1,North,Google Ads,NewProductLaunch,Converted,1,723.0
46,2024-01-04,97265,14,HCM2,North,Email Marketing,12.12,Cancelled,0,
47,2024-11-07,41131,117,HN1,South,Website SEO,NewProductLaunch,Converted,1,2348.0
48,2024-05-29,62428,73,HCM2,Central,Google Ads,Tet2024,Converted,1,2222.0
49,2024-09-13,43870,91,DN1,South,Tiktok Ads,SummerSale,Converted,1,646.0
50,2024-03-12,59067,90,CT1,Central,Tiktok Ads,SummerSale,NoAnswer,0,
51,2024-10-25,68585,29,HCM2,South,Google Ads,FlashSaleWeekend,Converted,1,731.0
52,2023-12-28,31607,179,CT1,South,Zalo OA,Tet2024,Calling,0,
53,2024-08-12,34968,49,HCM2,North,Tiktok Ads,FlashSaleWeekend,Calling,0,
54,2024-09-04,21908,171,CT1,Central,Email Marketing,BackToSchool,New,0,
55,2024-11-24,36423,72,HCM2,South,Website SEO,SummerSale,New,0,
56,2024-02-05,84707,133,CT1,South,Google Ads,BackToSchool,Converted,1,166.0
57,2024-11-18,88257,42,HN1,Central,Zalo OA,NewProductLaunch,Converted,1,428.0
58,2024-03-15,71215,135,HCM1,South,Google Ads,12.12,NoAnswer,0,
59,2024-12-15,65835,42,HCM2,Central,Zalo OA,12.12,Converted,1,1535.0
60,2024-09-03,59429,164,HN1,North,Zalo OA,12.12,Converted,1,933.0
61,2024-01-18,92152,105,HCM1,North,Email Marketing,FlashSaleWeekend,New,0,
62,2024-07-07,48458,27,HCM2,Central,Website SEO,11.11,Calling,0,
63,2024-03-04,56169,58,HN1,North,Tiktok Ads,Tet2024,Calling,0,
64,2024-02-02,17659,46,HN1,Central,Zalo OA,12.12,Cancelled,0,
65,2024-12-08,70614,66,HN1,South,Tiktok Ads,SummerSale,Calling,0,
66,2023-12-16,87240,25,DN1,South,Website SEO,Tet2024,NoAnswer,0,
67,2024-02-06,42793,73,CT1,Central,Tiktok Ads,NewProductLaunch,Cancelled,0,
68,2024-03-29,56473,117,HCM1,South,Email Marketing,NewProductLaunch,Converted,1,1343.0
69,2024-08-30,99388,155,CT1,North,Email Marketing,FlashSaleWeekend,Converted,1,1062.0
70,2024-10-19,98330,129,CT1,South,Facebook Ads,NewProductLaunch,New,0,
71,2024-06-22,65751,87,CT1,South,Email Marketing,NewProductLaunch,Cancelled,0,
72,2024-07-19,88915,74,HN1,Central,Zalo OA,11.11,Calling,0,
73,2024-01-27,64254,170,CT1,North,Website SEO,BackToSchool,NoAnswer,0,
74,2024-05-24,17006,180,DN1,South,Email Marketing,BackToSchool,New,0,
75,2024-07-03,84218,153,HCM2,South,Google Ads,12.12,New,0,
76,2024-09-09,75344,182,HN1,Central,Website SEO,11.11,Calling,0,
77,2024-11-29,43840,125,HCM1,Central,Zalo OA,FlashSaleWeekend,NoAnswer,0,
78,2024-10-13,42430,67,HCM2,North,Website SEO,BackToSchool,Calling,0,
79,2024-09-10,33091,6,HCM2,South,Email Marketing,FlashSaleWeekend,Converted,1,303.0
80,2024-07-16,42983,125,HCM2,Central,Google Ads,FlashSaleWeekend,Calling,0,
81,2024-08-22,33989,58,CT1,Central,Facebook Ads,NewProductLaunch,NoAnswer,0,
82,2024-06-21,85451,70,CT1,Central,Zalo OA,BackToSchool,Calling,0,
83,2024-10-05,28990,53,HN1,North,Zalo OA,Tet2024,Converted,1,1668.0
84,2024-07-14,90360,66,CT1,Central,Website SEO,12.12,Converted,1,1227.0
85,2024-07-09,46081,58,CT1,North,Tiktok Ads,BackToSchool,NoAnswer,0,
86,2024-08-07,21033,82,CT1,North,Tiktok Ads,Tet2024,Converted,1,1883.0
87,2024-11-16,26241,87,HN1,South,Google Ads,SummerSale,NoAnswer,0,
88,2024-12-15,15939,2,HN1,South,Facebook Ads,Tet2024,Converted,1,898.0
89,2024-02-05,57562,150,DN1,North,Facebook Ads,Tet2024,Calling,0,
90,2024-09-19,45063,37,DN1,South,Website SEO,NewProductLaunch,Calling,0,
91,2024-07-18,86721,148,DN1,South,Website SEO,NewProductLaunch,Converted,1,1585.0
92,2024-08-22,37045,103,DN1,Central,Tiktok Ads,12.12,Cancelled,0,
93,2024-06-19,54769,24,HCM2,South,Email Marketing,NewProductLaunch,Converted,1,727.0
94,2024-12-28,57118,112,HCM2,North,Facebook Ads,Tet2024,New,0,
95,2024-01-24,94703,65,DN1,South,Email Marketing,11.11,Converted,1,2910.0
96,2024-05-19,31625,193,DN1,Central,Facebook Ads,NewProductLaunch,New,0,
97,2023-12-29,37076,129,HCM1,North,Email Marketing,NewProductLaunch,NoAnswer,0,
98,2024-10-10,74805,117,HCM2,South,Email Marketing,Tet2024,Converted,1,2364.0
99,2024-02-17,54605,116,HCM1,North,Facebook Ads,SummerSale,Converted,1,2013.0
100,2024-11-23,94565,105,HCM1,South,Google Ads,SummerSale,Converted,1,1101.0
101,2024-11-05,98509,3,CT1,Central,Google Ads,BackToSchool,Converted,1,816.0
102,2023-12-23,49121,46,HN1,South,Website SEO,12.12,Converted,1,151.0
103,2024-11-22,75101,55,HCM2,North,Email Marketing,SummerSale,Cancelled,0,
104,2024-04-21,41433,75,DN1,North,Email Marketing,NewProductLaunch,NoAnswer,0,
105,2024-04-28,53309,192,DN1,North,Email Marketing,11.11,Cancelled,0,
106,2024-02-15,77468,45,HN1,South,Email Marketing,BackToSchool,NoAnswer,0,
107,2024-05-01,54254,154,HCM2,South,Email Marketing,12.12,Converted,1,407.0
108,2024-03-04,77293,77,DN1,South,Tiktok Ads,11.11,New,0,
109,2024-05-25,47853,193,DN1,Central,Zalo OA,11.11,Converted,1,2965.0
110,2024-09-28,48405,24,CT1,Central,Email Marketing,NewProductLaunch,Cancelled,0,
111,2024-12-27,76652,35,HCM1,Central,Tiktok Ads,Tet2024,Converted,1,1033.0
112,2024-08-31,53527,24,DN1,North,Google Ads,Tet2024,Calling,0,
113,2024-08-01,87227,28,HCM2,North,Email Marketing,Tet2024,Calling,0,
114,2024-01-24,10492,16,HN1,North,Google Ads,SummerSale,Converted,1,1101.0
115,2024-01-11,18811,59,CT1,North,Website SEO,Tet2024,New,0,
116,2024-04-27,34272,182,HCM2,North,Zalo OA,12.12,Cancelled,0,
117,2024-07-02,82010,144,CT1,South,Facebook Ads,NewProductLaunch,Calling,0,
118,2024-11-06,57153,15,HCM1,North,Zalo OA,SummerSale,Calling,0,
119,2024-09-07,64110,11,DN1,South,Email Marketing,12.12,Calling,0,
120,2024-01-16,23979,193,HCM2,Central,Email Marketing,Tet2024,Converted,1,1114.0
121,2024-01-31,38328,79,HN1,Central,Zalo OA,12.12,New,0,
122,2024-02-14,22867,115,HCM1,Central,Zalo OA,11.11,NoAnswer,0,
123,2024-07-17,69234,68,HCM1,Central,Website SEO,NewProductLaunch,Calling,0,
124,2024-10-02,35851,43,CT1,Central,Google Ads,NewProductLaunch,Converted,1,354.0
125,2024-03-22,41279,69,HCM1,North,Facebook Ads,12.12,Converted,1,2319.0
126,2024-06-03,83402,141,HCM2,North,Zalo OA,BackToSchool,Calling,0,
127,2024-12-08,25449,138,CT1,North,Facebook Ads,NewProductLaunch,NoAnswer,0,
128,2024-07-15,86221,75,HCM1,Central,Zalo OA,11.11,Calling,0,
129,2024-01-18,99080,103,HN1,Central,Google Ads,NewProductLaunch,Converted,1,2520.0
130,2024-07-28,15451,41,HCM2,South,Facebook Ads,BackToSchool,Converted,1,1780.0
131,2024-03-24,97178,178,HN1,North,Tiktok Ads,NewProductLaunch,Converted,1,1332.0
132,2024-04-23,51316,199,HN1,Central,Google Ads,FlashSaleWeekend,Cancelled,0,
133,2024-08-27,73064,59,CT1,Central,Facebook Ads,NewProductLaunch,Calling,0,
134,2023-12-19,73761,39,DN1,Central,Zalo OA,BackToSchool,NoAnswer,0,
135,2024-07-19,48870,3,CT1,South,Zalo OA,FlashSaleWeekend,New,0,
136,2024-08-25,40873,7,HCM2,Central,Google Ads,FlashSaleWeekend,New,0,
137,2024-12-07,68627,49,HCM2,South,Google Ads,NewProductLaunch,Cancelled,0,
138,2024-09-22,76155,26,CT1,South,Zalo OA,12.12,Converted,1,2963.0
139,2024-07-08,35372,161,DN1,North,Facebook Ads,SummerSale,Calling,0,
140,2023-12-29,13642,101,CT1,Central,Tiktok Ads,FlashSaleWeekend,Converted,1,697.0
141,2024-11-24,38001,176,HCM2,South,Website SEO,12.12,Calling,0,
142,2024-01-25,44064,79,DN1,Central,Google Ads,NewProductLaunch,Converted,1,1773.0
143,2024-12-28,24122,2,HCM2,North,Zalo OA,Tet2024,Converted,1,716.0
144,2024-06-10,34820,127,DN1,North,Facebook Ads,Tet2024,Converted,1,1235.0
145,2024-02-15,78431,199,DN1,South,Google Ads,SummerSale,Converted,1,2780.0
146,2024-11-30,65745,160,CT1,North,Facebook Ads,FlashSaleWeekend,Converted,1,1847.0
147,2024-08-01,60081,132,CT1,North,Google Ads,NewProductLaunch,NoAnswer,0,
148,2024-08-11,80902,20,CT1,North,Zalo OA,11.11,NoAnswer,0,
149,2024-02-04,18711,117,DN1,Central,Facebook Ads,FlashSaleWeekend,Converted,1,212.0
150,2024-03-19,95132,164,DN1,Central,Zalo OA,NewProductLaunch,Converted,1,754.0
151,2024-07-23,28793,32,HCM2,South,Facebook Ads,Tet2024,Converted,1,436.0
152,2024-08-01,18199,28,HN1,South,Google Ads,BackToSchool,Cancelled,0,
153,2024-08-07,86253,77,CT1,North,Website SEO,SummerSale,Cancelled,0,
154,2024-05-05,46191,1,HCM2,North,Website SEO,BackToSchool,Converted,1,1236.0
155,2024-06-02,20211,188,HCM2,South,Tiktok Ads,11.11,Converted,1,779.0
156,2024-01-12,73069,56,HCM1,North,Tiktok Ads,NewProductLaunch,Calling,0,
157,2024-01-19,98896,35,CT1,South,Email Marketing,11.11,Calling,0,
158,2023-12-27,66746,112,HCM2,Central,Zalo OA,BackToSchool,Cancelled,0,
159,2024-05-22,31542,30,HCM1,North,Facebook Ads,NewProductLaunch,New,0,
160,2024-11-05,41312,54,CT1,North,Tiktok Ads,FlashSaleWeekend,New,0,
161,2024-06-18,55242,36,DN1,North,Google Ads,12.12,New,0,
162,2024-08-13,97893,183,HCM1,Central,Website SEO,12.12,Converted,1,1718.0
163,2024-03-09,65388,80,DN1,Central,Facebook Ads,FlashSaleWeekend,New,0,
164,2024-09-23,37691,58,HN1,North,Email Marketing,11.11,Cancelled,0,
165,2024-02-18,87960,83,HN1,South,Website SEO,12.12,Converted,1,1495.0
166,2024-06-01,94388,65,HN1,Central,Facebook Ads,12.12,Converted,1,1980.0
167,2024-01-28,32601,69,HN1,North,Tiktok Ads,Tet2024,Converted,1,1333.0
168,2024-02-14,28020,128,HCM2,North,Tiktok Ads,12.12,NoAnswer,0,
169,2024-04-26,18155,51,HN1,Central,Zalo OA,Tet2024,Converted,1,1853.0
170,2024-09-23,79119,22,HCM2,South,Email Marketing,SummerSale,New,0,
171,2024-01-11,91051,107,HCM2,North,Facebook Ads,Tet2024,Converted,1,285.0
172,2024-03-31,46777,109,CT1,South,Email Marketing,Tet2024,Converted,1,988.0
173,2024-01-27,29710,116,HCM2,South,Google Ads,BackToSchool,Cancelled,0,
174,2024-11-18,34532,101,HCM2,Central,Email Marketing,Tet2024,New,0,
175,2024-09-25,28601,181,HN1,North,Tiktok Ads,Tet2024,Calling,0,
176,2024-11-09,73227,100,HCM2,North,Zalo OA,BackToSchool,Converted,1,1393.0
177,2024-04-20,14967,164,DN1,South,Tiktok Ads,Tet2024,New,0,
178,2024-11-26,94289,68,HN1,Central,Website SEO,12.12,Converted,1,2534.0
179,2024-08-01,30022,36,HCM1,Central,Tiktok Ads,FlashSaleWeekend,Cancelled,0,
180,2024-06-21,53463,180,HN1,Central,Facebook Ads,Tet2024,Calling,0,
181,2024-07-26,84671,181,HCM2,South,Zalo OA,SummerSale,Converted,1,2229.0
182,2024-12-25,15722,178,DN1,South,Facebook Ads,Tet2024,Converted,1,2931.0
183,2024-09-22,37413,169,HN1,North,Google Ads,Tet2024,Converted,1,1922.0
184,2024-04-13,91050,146,DN1,Central,Google Ads,SummerSale,Calling,0,
185,2024-04-08,95867,22,HCM1,South,Tiktok Ads,FlashSaleWeekend,New,0,
186,2024-08-03,93596,66,HCM1,Central,Zalo OA,BackToSchool,New,0,
187,2024-08-29,76732,21,CT1,South,Email Marketing,12.12,Calling,0,
188,2024-12-07,22297,100,CT1,North,Zalo OA,FlashSaleWeekend,NoAnswer,0,
189,2024-06-29,78323,128,HN1,Central,Zalo OA,Tet2024,Converted,1,1997.0
190,2024-04-29,33816,44,CT1,South,Zalo OA,12.12,Cancelled,0,
191,2024-10-27,50695,103,DN1,Central,Tiktok Ads,11.11,Cancelled,0,
192,2024-05-27,29702,47,CT1,South,Facebook Ads,12.12,Cancelled,0,
193,2024-07-26,35242,39,DN1,South,Tiktok Ads,BackToSchool,Cancelled,0,
194,2024-10-16,65841,29,CT1,South,Email Marketing,BackToSchool,Converted,1,105.0
195,2024-08-04,77712,54,CT1,Central,Facebook Ads,FlashSaleWeekend,Cancelled,0,
196,2024-06-03,95663,90,CT1,South,Email Marketing,Tet2024,Calling,0,
197,2024-05-14,63574,85,HCM2,North,Website SEO,SummerSale,Cancelled,0,
198,2024-10-24,95744,17,HCM2,Central,Website SEO,BackToSchool,Converted,1,1352.0
199,2024-12-22,38482,80,CT1,North,Facebook Ads,SummerSale,Converted,1,2699.0
200,2024-05-22,19171,188,DN1,North,Tiktok Ads,FlashSaleWeekend,Converted,1,509.0
201,2024-03-19,13696,159,HN1,Central,Email Marketing,FlashSaleWeekend,NoAnswer,0,
202,2024-08-03,30058,73,HCM1,South,Email Marketing,11.11,NoAnswer,0,
203,2024-06-11,30313,49,HCM2,North,Google Ads,SummerSale,Converted,1,2095.0
204,2024-04-05,29149,101,CT1,Central,Email Marketing,FlashSaleWeekend,Converted,1,879.0
205,2024-10-27,63521,2,HCM1,South,Tiktok Ads,FlashSaleWeekend,Converted,1,1275.0
206,2024-02-04,55740,176,HCM2,Central,Google Ads,FlashSaleWeekend,Converted,1,1018.0
207,2024-09-07,14956,142,HN1,Central,Tiktok Ads,NewProductLaunch,New,0,
208,2024-10-04,85731,59,DN1,Central,Zalo OA,FlashSaleWeekend,Converted,1,2933.0
209,2024-04-05,92612,97,CT1,South,Email Marketing,FlashSaleWeekend,Converted,1,64.0
210,2024-03-24,76641,99,HN1,North,Zalo OA,SummerSale,Converted,1,320.0
211,2024-04-05,73811,186,HCM2,North,Website SEO,BackToSchool,New,0,
212,2024-03-04,62160,103,CT1,Central,Website SEO,SummerSale,New,0,
213,2024-06-18,61313,186,HCM1,Central,Facebook Ads,SummerSale,New,0,
214,2024-04-05,73232,179,DN1,South,Email Marketing,NewProductLaunch,Calling,0,
215,2023-12-16,25417,2,HCM2,Central,Google Ads,NewProductLaunch,NoAnswer,0,
216,2024-04-22,34729,41,DN1,Central,Zalo OA,Tet2024,Converted,1,437.0
217,2024-07-21,40099,123,CT1,Central,Tiktok Ads,BackToSchool,Calling,0,
218,2024-02-06,39961,82,HN1,North,Email Marketing,FlashSaleWeekend,NoAnswer,0,
219,2024-11-21,22602,144,DN1,Central,Facebook Ads,Tet2024,Calling,0,
220,2024-07-25,19256,132,HCM1,North,Tiktok Ads,FlashSaleWeekend,NoAnswer,0,
221,2024-07-26,96120,140,HCM2,South,Zalo OA,FlashSaleWeekend,Converted,1,2499.0
222,2024-04-18,44681,29,HCM1,South,Email Marketing,NewProductLaunch,New,0,
223,2024-04-22,97440,135,DN1,North,Zalo OA,FlashSaleWeekend,NoAnswer,0,
224,2024-02-05,74789,14,HN1,North,Email Marketing,FlashSaleWeekend,Converted,1,1077.0
225,2024-06-03,53361,12,HN1,North,Email Marketing,SummerSale,Converted,1,2281.0
226,2024-07-19,74503,99,HCM1,North,Zalo OA,NewProductLaunch,New,0,
227,2024-05-22,44540,133,CT1,Central,Zalo OA,11.11,Converted,1,1899.0
228,2024-06-29,36536,81,CT1,North,Tiktok Ads,SummerSale,Converted,1,200.0
229,2024-08-17,94700,106,HN1,North,Facebook Ads,Tet2024,Converted,1,674.0
230,2024-11-02,73043,32,HCM1,North,Zalo OA,SummerSale,NoAnswer,0,
231,2024-07-04,88532,74,HCM1,Central,Website SEO,11.11,Converted,1,937.0
232,2024-06-15,66575,171,HCM1,Central,Facebook Ads,NewProductLaunch,Calling,0,
233,2024-04-15,12871,81,DN1,Central,Website SEO,BackToSchool,Cancelled,0,
234,2024-08-25,56002,69,CT1,South,Tiktok Ads,FlashSaleWeekend,NoAnswer,0,
235,2024-10-03,59812,45,CT1,Central,Zalo OA,12.12,Calling,0,
236,2024-09-19,32626,106,DN1,North,Facebook Ads,BackToSchool,Converted,1,2088.0
237,2024-11-03,69979,137,HCM2,Central,Zalo OA,BackToSchool,Cancelled,0,
238,2024-12-20,86057,177,DN1,Central,Email Marketing,FlashSaleWeekend,Calling,0,
239,2024-03-21,76668,161,HCM1,North,Zalo OA,NewProductLaunch,Cancelled,0,
240,2024-06-29,90070,100,DN1,Central,Facebook Ads,BackToSchool,New,0,
241,2024-08-10,99390,146,HCM1,South,Zalo OA,11.11,Converted,1,770.0
242,2024-05-06,52998,9,HN1,Central,Zalo OA,FlashSaleWeekend,NoAnswer,0,
243,2024-03-20,73814,62,HCM1,South,Google Ads,NewProductLaunch,Converted,1,2481.0
244,2024-07-02,55607,185,CT1,South,Google Ads,BackToSchool,Converted,1,2755.0
245,2024-04-16,17812,29,DN1,South,Facebook Ads,FlashSaleWeekend,Converted,1,2613.0
246,2024-06-18,71844,125,HCM1,North,Facebook Ads,12.12,Converted,1,147.0
247,2024-11-04,80093,114,HCM2,Central,Email Marketing,Tet2024,Calling,0,
248,2024-11-27,12179,153,HN1,South,Email Marketing,NewProductLaunch,Converted,1,2330.0
249,2024-08-29,53798,143,HCM2,South,Zalo OA,NewProductLaunch,Converted,1,2803.0
250,2024-05-10,84601,134,HCM2,Central,Website SEO,SummerSale,Converted,1,495.0
251,2024-08-22,18275,120,HCM2,North,Facebook Ads,FlashSaleWeekend,Converted,1,2457.0
252,2024-11-24,60574,170,HN1,North,Zalo OA,BackToSchool,Converted,1,1650.0
253,2024-05-09,57857,157,HN1,South,Website SEO,Tet2024,Converted,1,2321.0
254,2024-05-10,30700,79,HN1,North,Google Ads,FlashSaleWeekend,Converted,1,2506.0
255,2024-11-30,49464,93,HN1,Central,Email Marketing,12.12,NoAnswer,0,
256,2024-06-30,52351,4,HCM2,North,Facebook Ads,11.11,New,0,
257,2024-10-17,92534,82,CT1,Central,Zalo OA,NewProductLaunch,New,0,
258,2024-04-20,23869,185,CT1,South,Google Ads,11.11,NoAnswer,0,
259,2024-01-22,70315,177,HN1,Central,Tiktok Ads,11.11,Converted,1,331.0
260,2024-11-16,30954,172,DN1,South,Google Ads,11.11,Converted,1,11.0
261,2024-12-08,41555,75,HCM1,Central,Zalo OA,SummerSale,Converted,1,908.0
262,2024-04-21,73353,14,DN1,Central,Email Marketing,FlashSaleWeekend,Converted,1,1401.0
263,2024-09-06,92190,131,DN1,North,Website SEO,11.11,Calling,0,
264,2024-05-13,55026,114,DN1,Central,Tiktok Ads,BackToSchool,Converted,1,8.0
265,2024-10-07,56976,62,CT1,South,Tiktok Ads,BackToSchool,Calling,0,
266,2024-03-22,90578,106,HCM1,Central,Email Marketing,Tet2024,Calling,0,
267,2024-09-02,55095,64,DN1,South,Tiktok Ads,Tet2024,NoAnswer,0,
268,2024-08-22,24270,102,HN1,South,Facebook Ads,12.12,Converted,1,566.0
269,2024-05-06,40908,173,CT1,Central,Zalo OA,11.11,Calling,0,
270,2024-11-24,25523,106,HN1,North,Tiktok Ads,11.11,Converted,1,2989.0
271,2024-04-04,72433,186,HN1,Central,Google Ads,SummerSale,Calling,0,
272,2024-02-12,57068,20,DN1,Central,Website SEO,FlashSaleWeekend,Cancelled,0,
273,2024-12-17,29991,58,HN1,North,Zalo OA,11.11,Calling,0,
274,2023-12-16,20775,112,HCM1,South,Email Marketing,11.11,New,0,
275,2024-10-13,87801,57,HN1,Central,Google Ads,FlashSaleWeekend,Converted,1,114.0
276,2024-08-24,94995,196,DN1,North,Facebook Ads,11.11,Calling,0,
277,2024-05-02,71250,119,HN1,North,Tiktok Ads,NewProductLaunch,Converted,1,1523.0
278,2024-01-20,26673,97,CT1,South,Google Ads,NewProductLaunch,Converted,1,1045.0
279,2024-05-22,37056,92,CT1,North,Zalo OA,SummerSale,Converted,1,1744.0
280,2023-12-23,16614,52,CT1,South,Google Ads,SummerSale,NoAnswer,0,
281,2024-08-03,17415,37,HCM2,Central,Facebook Ads,BackToSchool,Converted,1,133.0
282,2024-03-22,98691,8,CT1,North,Website SEO,SummerSale,NoAnswer,0,
283,2024-05-09,53884,44,CT1,Central,Tiktok Ads,12.12,Calling,0,
284,2024-10-13,26964,98,HCM2,North,Zalo OA,BackToSchool,NoAnswer,0,
285,2024-07-09,47726,133,CT1,North,Tiktok Ads,FlashSaleWeekend,Converted,1,26.0
286,2024-04-23,47044,118,DN1,Central,Tiktok Ads,11.11,NoAnswer,0,
287,2024-05-14,67149,69,CT1,North,Email Marketing,SummerSale,Calling,0,
288,2024-02-06,47544,159,CT1,Central,Tiktok Ads,12.12,Cancelled,0,
289,2024-04-12,59976,45,HCM2,Central,Google Ads,SummerSale,Cancelled,0,
290,2024-05-23,42252,137,DN1,South,Google Ads,SummerSale,Cancelled,0,
291,2024-04-08,13832,32,HN1,Central,Website SEO,BackToSchool,Converted,1,2337.0
292,2024-02-27,90437,33,HCM1,South,Facebook Ads,FlashSaleWeekend,Cancelled,0,
293,2024-04-05,44148,126,DN1,Central,Zalo OA,FlashSaleWeekend,Converted,1,817.0
294,2024-03-27,71240,67,HN1,North,Google Ads,BackToSchool,Converted,1,1935.0
295,2024-11-18,98454,30,DN1,Central,Tiktok Ads,Tet2024,Converted,1,108.0
296,2024-08-24,95076,114,HN1,North,Facebook Ads,BackToSchool,New,0,
297,2024-07-28,87116,29,HN1,South,Zalo OA,BackToSchool,Converted,1,738.0
298,2024-04-04,63459,131,DN1,North,Zalo OA,NewProductLaunch,Calling,0,
299,2024-03-22,48402,185,HCM2,Central,Zalo OA,SummerSale,NoAnswer,0,
300,2024-05-15,67727,30,DN1,North,Zalo OA,BackToSchool,Converted,1,2783.0
301,2024-11-27,48578,137,DN1,South,Website SEO,SummerSale,Converted,1,793.0
302,2024-12-14,32318,154,HN1,North,Zalo OA,SummerSale,Converted,1,1868.0
303,2024-11-16,85715,130,HCM1,North,Facebook Ads,NewProductLaunch,Converted,1,1356.0
304,2024-06-25,87787,62,HN1,Central,Google Ads,SummerSale,NoAnswer,0,
305,2024-10-19,95029,3,CT1,Central,Facebook Ads,12.12,Converted,1,289.0
306,2024-05-25,30466,174,DN1,North,Tiktok Ads,BackToSchool,Calling,0,
307,2024-07-09,55475,68,DN1,South,Email Marketing,SummerSale,NoAnswer,0,
308,2024-05-31,70142,25,HCM2,North,Website SEO,Tet2024,Converted,1,1372.0
309,2024-05-23,95160,179,HN1,South,Website SEO,Tet2024,Converted,1,2940.0
310,2024-02-20,36564,141,HCM2,South,Tiktok Ads,NewProductLaunch,New,0,
311,2024-09-28,32412,44,DN1,South,Facebook Ads,12.12,Cancelled,0,
312,2024-09-16,61001,163,HN1,North,Facebook Ads,FlashSaleWeekend,Calling,0,
313,2024-10-13,67649,55,HN1,South,Tiktok Ads,FlashSaleWeekend,NoAnswer,0,
314,2024-04-27,70957,137,CT1,North,Email Marketing,BackToSchool,Converted,1,2943.0
315,2024-06-26,45517,130,CT1,South,Zalo OA,NewProductLaunch,Converted,1,1077.0
316,2024-04-20,23156,189,HCM1,South,Zalo OA,Tet2024,Converted,1,1874.0
