ApplicationID,LeadID,CustomerID,ProductID,Branch,Region,ApplicationDate,ApplicationStatus,RequestedAmount
102,102,43159,23,HCM2,Central,2024-04-27,Approved,90569321
103,103,23986,47,HN1,South,2024-02-17,Approved,132795369
105,105,22666,12,DN1,Central,2024-03-31,Processing,466623275
107,107,13561,46,HCM1,South,2024-09-28,Processing,346421505
108,108,36854,47,CT1,Central,2024-04-01,Processing,253492757
109,109,74505,15,HN1,South,2024-04-30,Approved,297478888
110,110,62251,41,HN1,North,2024-02-23,Processing,469123907
112,112,18392,26,HCM1,Central,2024-04-28,Approved,257718695
113,113,40535,29,HCM2,South,2024-09-19,Approved,432644710
114,114,88603,22,DN1,Central,2024-03-16,Approved,178180700
115,115,62256,40,CT1,South,2024-11-04,Processing,235787510
116,116,99135,21,HCM2,Central,2024-01-10,Approved,428057309
117,117,45222,38,HCM1,North,2025-01-01,Approved,475758446
120,120,94651,4,DN1,Central,2024-12-15,Rejected,33659917
121,121,73335,7,HCM2,Central,2024-08-05,Approved,69665985
122,122,20965,28,HCM1,North,2024-10-09,Approved,290429455
123,123,34538,28,HCM2,North,2024-01-31,Approved,153173835
124,124,80592,4,HN1,South,2024-08-23,Approved,301841720
125,125,18110,22,HN1,South,2024-11-08,Approved,441103336
128,128,62992,3,DN1,Central,2024-01-29,Processing,225217830
129,129,92948,22,DN1,North,2024-12-21,Approved,79223530
130,130,16910,44,HN1,South,2024-06-12,Approved,169432101
131,131,10206,2,HCM2,South,2024-09-27,Rejected,269896045
132,132,97054,24,HCM2,South,2024-11-30,Processing,309679483
133,133,97897,34,CT1,South,2024-02-04,Approved,180759916
135,135,60636,41,DN1,South,2024-12-16,Processing,467034088
136,136,60015,1,HCM2,North,2024-09-30,Rejected,265240671
137,137,64268,8,CT1,South,2024-07-29,Approved,154716149
138,138,97939,23,DN1,South,2024-08-29,Approved,355188000
139,139,28141,38,HCM2,South,2024-04-06,Processing,413706610
140,140,90356,6,DN1,South,2024-06-22,Processing,325575806
141,141,81910,22,HN1,North,2024-03-23,Processing,121571149
142,142,66044,25,HN1,Central,2024-04-23,Processing,457579915
143,143,77214,18,HN1,Central,2024-08-07,Approved,144656236
144,144,43827,17,HCM2,Central,2024-12-27,Approved,185924945
145,145,65820,12,CT1,Central,2024-04-18,Approved,230455586
147,147,91734,26,HCM1,Central,2024-06-29,Approved,321637768
149,149,32299,8,HN1,North,2024-09-06,Approved,216390553
150,150,53585,19,HCM1,North,2024-09-04,Processing,123555402
151,151,74044,42,HCM1,North,2024-11-19,Processing,219803076
152,152,52557,1,HCM2,South,2024-03-31,Approved,117469831
153,153,59080,29,DN1,South,2024-08-04,Approved,140999136
155,155,79163,49,CT1,North,2024-10-04,Processing,415345384
156,156,35939,35,HCM2,Central,2024-12-03,Approved,305469644
157,157,58925,40,HCM2,North,2024-07-28,Processing,56683208
159,159,31834,35,CT1,North,2024-11-25,Processing,394582569
160,160,28047,48,CT1,Central,2024-05-21,Processing,282749603
161,161,36105,45,HCM1,South,2024-11-03,Approved,246579191
162,162,85766,20,HN1,Central,2024-08-19,Rejected,337506376
163,163,25707,49,HCM1,Central,2024-11-03,Approved,244095802
164,164,31976,13,HN1,South,2024-06-10,Approved,97310573
165,165,54262,38,HCM1,Central,2024-01-01,Processing,115732889
167,167,40080,46,HN1,Central,2024-07-08,Processing,420827311
168,168,76842,49,HCM2,Central,2024-01-08,Processing,210258346
170,170,16776,43,HN1,North,2024-08-09,Approved,487807606
171,171,65016,20,HN1,Central,2024-09-17,Rejected,82280894
172,172,19474,33,DN1,Central,2024-01-03,Processing,332214355
173,173,68053,26,HCM1,North,2024-03-14,Approved,160801755
174,174,31959,39,HCM2,South,2024-06-27,Rejected,170606328
175,175,15530,21,HCM1,South,2024-07-11,Approved,274650071
176,176,13748,49,HCM1,South,2024-10-20,Approved,254289150
177,177,23545,42,CT1,Central,2024-01-09,Approved,193880704
178,178,76199,43,DN1,South,2024-09-10,Rejected,226497589
179,179,44766,41,CT1,North,2024-10-18,Approved,410705880
180,180,83530,9,DN1,Central,2024-09-01,Approved,323335097
183,183,64384,49,DN1,South,2024-10-12,Approved,456348653
184,184,61005,41,HCM1,South,2024-02-02,Processing,295563146
186,186,49353,24,HCM2,Central,2024-05-25,Rejected,130130756
188,188,93211,39,CT1,Central,2024-01-17,Approved,293553236
189,189,62733,41,CT1,North,2024-12-22,Approved,374356661
190,190,75318,39,HN1,Central,2024-02-18,Approved,479031996
191,191,99474,13,HCM2,North,2024-09-09,Processing,215322340
193,193,77172,46,CT1,Central,2024-02-01,Approved,447803375
194,194,95616,19,HCM2,North,2024-09-19,Approved,363310445
195,195,36736,11,HCM1,North,2024-01-19,Approved,357250608
196,196,10854,13,CT1,North,2024-02-11,Processing,225574326
197,197,48623,46,HCM1,North,2024-10-31,Processing,325953086
198,198,17392,45,CT1,North,2024-02-09,Approved,454949572
200,200,56717,40,HN1,North,2024-02-02,Approved,447530189
201,201,97092,44,CT1,North,2024-06-09,Processing,220242941
203,203,36309,12,HCM2,North,2024-07-23,Processing,235327778
204,204,97455,8,DN1,North,2024-03-10,Processing,324832712
205,205,73734,8,HCM2,Central,2024-04-17,Approved,336436874
206,206,80467,45,CT1,Central,2024-09-27,Approved,193280899
207,207,62662,12,HCM2,South,2024-08-11,Processing,155295815
208,208,22688,48,DN1,South,2024-10-21,Approved,127387442
210,210,47157,45,HCM1,North,2024-04-01,Approved,450767204
212,212,62083,39,HN1,South,2024-09-13,Approved,108507583
213,213,75733,28,HCM1,North,2024-09-12,Rejected,423800795
214,214,99045,5,CT1,South,2024-09-14,Approved,365325941
215,215,44698,8,CT1,North,2024-12-14,Approved,476191053
216,216,90623,25,DN1,Central,2024-03-28,Approved,140040620
217,217,32671,27,DN1,Central,2024-04-02,Approved,412067996
218,218,35184,46,HCM2,South,2024-08-27,Rejected,191006675
219,219,52107,23,DN1,Central,2024-03-13,Approved,103898213
220,220,96202,30,CT1,Central,2024-02-16,Approved,253664364
222,222,25708,47,HCM1,Central,2024-05-31,Approved,81099531
224,224,12811,49,HCM2,North,2024-01-19,Approved,466613391
225,225,66250,47,CT1,South,2024-04-14,Processing,73693101
226,226,82082,20,DN1,Central,2024-04-08,Approved,235509505
229,229,12911,2,HN1,South,2024-01-30,Processing,450202151
230,230,77270,4,DN1,North,2024-09-05,Approved,140446382
231,231,93763,30,CT1,Central,2024-02-06,Processing,206967955
232,232,18680,33,DN1,North,2024-08-17,Processing,398637039
233,233,94896,36,HCM2,South,2024-01-14,Rejected,280137467
234,234,93879,18,HCM1,North,2024-04-28,Approved,75469455
235,235,81295,37,CT1,Central,2024-12-19,Processing,260170781
236,236,98614,19,HN1,North,2024-06-04,Processing,138499347
238,238,47504,28,HCM1,South,2024-11-30,Approved,462120532
240,240,18155,20,HCM2,South,2024-02-02,Processing,204315973
243,243,57254,12,DN1,North,2024-07-10,Rejected,380537480
246,246,70713,39,DN1,Central,2024-09-16,Processing,374022274
249,249,56843,41,HCM1,North,2024-10-04,Approved,120046739
250,250,26371,10,HCM1,South,2024-09-18,Rejected,278999023
251,251,87371,2,HN1,North,2024-05-14,Approved,166882109
252,252,12049,11,CT1,North,2024-06-22,Approved,453080288
253,253,41616,13,DN1,Central,2024-07-31,Approved,63737636
255,255,39855,14,CT1,South,2024-07-06,Rejected,266535673
256,256,71434,18,CT1,North,2024-12-30,Approved,421017339
257,257,82694,9,CT1,South,2024-04-05,Rejected,464064382
258,258,53016,39,HCM1,Central,2024-01-12,Approved,297079736
260,260,52642,3,HN1,South,2024-07-30,Approved,396256400
261,261,25151,20,CT1,South,2024-07-16,Rejected,455338991
262,262,61407,6,HN1,Central,2024-04-09,Approved,21539449
266,266,69040,38,CT1,North,2024-05-13,Rejected,198230512
269,269,22874,30,DN1,Central,2024-03-25,Approved,295134478
271,271,15539,2,HCM1,Central,2024-09-08,Approved,220178706
272,272,63351,17,CT1,South,2024-05-26,Processing,224173004
273,273,71267,41,HN1,Central,2024-12-19,Approved,74052529
274,274,58354,12,HCM1,South,2024-06-18,Approved,75786006
275,275,12557,35,DN1,South,2024-08-12,Approved,260222187
276,276,48360,43,CT1,South,2024-08-10,Approved,280780119
279,279,78497,15,CT1,North,2024-09-22,Processing,39537175
280,280,56975,26,CT1,Central,2024-05-31,Approved,391676186
281,281,31357,37,DN1,South,2024-08-06,Approved,322715414
282,282,87505,21,HN1,Central,2024-07-16,Processing,490563147
283,283,12869,49,CT1,Central,2024-02-11,Approved,209242695
285,285,60108,25,HCM2,Central,2024-11-26,Approved,206119191
286,286,48467,23,HN1,South,2024-09-11,Approved,479370344
287,287,33328,24,CT1,South,2024-10-23,Processing,254661641
288,288,96831,38,CT1,South,2024-09-27,Processing,426221783
290,290,68871,21,HCM2,Central,2024-12-05,Approved,370859338
291,291,32399,43,DN1,Central,2024-09-24,Approved,359258656
293,293,96416,36,CT1,North,2024-02-02,Processing,31448186
294,294,80271,35,HCM2,Central,2024-02-08,Processing,181428721
295,295,54064,45,HCM1,Central,2024-01-10,Approved,143808908
296,296,80091,9,HN1,North,2024-04-23,Approved,396130075
298,298,55525,30,DN1,South,2024-03-20,Rejected,478396356
299,299,29830,44,HN1,South,2024-12-15,Rejected,248802320
300,300,27429,34,CT1,North,2024-05-30,Processing,35238819
302,302,89909,3,HCM1,Central,2024-01-08,Rejected,311725459
303,303,57333,3,HCM1,Central,2024-05-05,Approved,261109955
305,305,84290,44,HN1,North,2024-06-23,Processing,394515193
307,307,15895,41,HCM2,South,2024-03-25,Approved,239353499
309,309,40746,40,HCM2,North,2024-05-15,Processing,44658037
310,310,59377,11,HCM1,South,2024-12-09,Approved,73499581
311,311,58404,48,DN1,South,2024-01-16,Approved,269698100
312,312,64045,32,HCM2,Central,2024-12-02,Processing,171904742
313,313,49790,36,CT1,South,2024-07-16,Processing,68559325
314,314,15600,33,DN1,North,2024-01-11,Approved,240457759
317,317,55714,34,HCM2,Central,2024-12-02,Approved,221376765
319,319,83744,37,CT1,South,2024-01-15,Rejected,136455597
320,320,66491,7,DN1,Central,2024-11-23,Approved,222333849
321,321,28589,4,DN1,Central,2024-04-13,Processing,381575810
322,322,53484,37,DN1,North,2024-08-15,Processing,139657313
323,323,92989,1,HCM2,North,2024-10-06,Approved,159048201
324,324,46212,1,CT1,South,2024-04-24,Approved,39707556
325,325,53525,47,HCM1,North,2024-01-04,Approved,331377402
326,326,57202,20,HCM1,Central,2024-09-24,Rejected,165127760
328,328,73208,29,HCM2,South,2024-04-20,Approved,367891883
329,329,43828,10,DN1,North,2024-07-18,Processing,455486550
330,330,28711,18,CT1,North,2024-11-05,Processing,148065752
333,333,55236,43,HN1,North,2024-07-07,Rejected,52517994
334,334,76235,47,HCM1,Central,2024-06-03,Processing,404641681
335,335,64240,31,HN1,South,2024-12-01,Processing,439899227
336,336,75726,27,HN1,North,2024-10-05,Processing,123998946
337,337,20492,11,HCM1,Central,2024-06-22,Approved,164946940
338,338,16102,49,HCM1,Central,2024-05-14,Rejected,88778561
339,339,60336,49,HN1,North,2024-01-28,Processing,80174404
341,341,36641,5,HN1,South,2024-07-11,Processing,45020079
342,342,44584,8,DN1,South,2024-05-23,Approved,433230063
343,343,42745,34,DN1,Central,2024-02-13,Approved,233702827
344,344,33093,48,DN1,South,2024-11-30,Approved,191002404
345,345,76105,12,HCM2,North,2024-10-11,Approved,184223610
346,346,61885,38,DN1,Central,2024-05-28,Processing,438958650
347,347,46631,1,CT1,South,2024-11-11,Approved,429074283
348,348,82991,31,HCM2,North,2024-11-15,Approved,495347574
351,351,28070,45,HN1,Central,2024-02-27,Approved,131060726
352,352,45777,5,HCM1,North,2024-06-04,Approved,417979696
353,353,66958,30,HN1,North,2024-06-08,Processing,208172601
354,354,92074,24,HN1,North,2024-04-20,Approved,131109130
355,355,20729,3,HCM2,North,2024-05-20,Rejected,352709794
359,359,88069,26,CT1,South,2024-10-30,Rejected,74367960
361,361,15801,46,HCM2,Central,2024-11-21,Processing,387984412
362,362,29190,43,DN1,South,2024-01-06,Approved,461793655
363,363,59689,27,HCM2,Central,2024-10-10,Rejected,270908397
365,365,39592,6,HCM2,North,2024-09-27,Processing,369148095
366,366,20647,15,CT1,South,2024-07-17,Processing,452836288
367,367,18716,30,HCM2,North,2024-01-26,Approved,380698684
368,368,98891,42,DN1,North,2024-05-27,Approved,430456676
370,370,99912,37,DN1,Central,2024-12-03,Approved,55686091
371,371,80316,42,CT1,North,2024-12-05,Approved,261435059
372,372,12368,37,HN1,Central,2024-03-10,Approved,199470828
373,373,87575,35,DN1,South,2024-10-28,Approved,378068069
374,374,16655,23,HCM2,North,2024-06-24,Processing,174011716
376,376,86429,4,HCM2,North,2024-03-19,Approved,183591278
377,377,97922,18,HCM2,South,2024-04-25,Approved,149825879
378,378,65766,9,DN1,North,2024-04-24,Approved,225047828
379,379,23403,49,HCM1,South,2024-09-07,Processing,468472768
380,380,42097,29,HN1,Central,2024-07-22,Approved,319391383
381,381,88657,13,HCM2,North,2024-05-26,Approved,281212755
383,383,62921,17,HN1,South,2024-11-07,Processing,441498431
384,384,59726,45,HCM2,South,2024-01-27,Rejected,443920975
385,385,60300,32,HCM1,Central,2024-08-28,Rejected,493778635
386,386,32677,48,DN1,Central,2024-01-14,Processing,342792537
387,387,65609,22,HCM2,South,2024-02-14,Approved,295854597
388,388,66661,4,HCM2,Central,2024-08-04,Processing,227552121
389,389,41024,5,HCM1,South,2024-08-24,Processing,125583634
390,390,80313,37,HCM2,Central,2024-07-14,Approved,136010307
391,391,63006,41,HN1,South,2024-02-22,Approved,337901444
392,392,25338,49,HCM2,South,2024-08-03,Approved,160632426
393,393,78027,13,CT1,North,2024-05-30,Approved,458105497
395,395,29508,45,HCM1,South,2024-12-05,Approved,305923431
396,396,13051,22,HN1,North,2024-03-19,Processing,484917598
399,399,97235,42,HCM2,Central,2024-07-07,Processing,123858449
400,400,64021,34,HCM2,South,2024-10-15,Processing,366733320
401,401,76412,32,DN1,Central,2024-01-30,Processing,432102566
403,403,66179,49,DN1,South,2024-09-10,Processing,457865488
404,404,42093,21,CT1,North,2024-05-05,Approved,269375999
405,405,79678,46,HCM2,North,2024-06-28,Processing,211026864
406,406,90738,44,HCM2,South,2024-02-07,Processing,492473727
407,407,49734,21,HCM2,South,2024-04-11,Rejected,370612654
408,408,82615,44,HCM1,South,2024-04-07,Approved,369570224
409,409,83523,11,CT1,South,2024-05-08,Rejected,429267193
410,410,27019,39,HCM2,South,2024-06-19,Processing,478199203
411,411,93613,4,CT1,South,2024-03-23,Rejected,363332196
414,414,92750,24,CT1,Central,2024-05-09,Processing,336864884
415,415,89634,35,DN1,North,2024-12-08,Approved,375638408
419,419,18308,11,HCM2,North,2024-01-28,Approved,290471587
420,420,15949,36,CT1,Central,2024-06-21,Approved,291445482
421,421,61990,17,HCM1,South,2024-02-18,Processing,108252486
422,422,11150,35,CT1,South,2024-11-24,Approved,132359873
423,423,99480,18,HCM2,Central,2024-08-23,Approved,23387201
424,424,84740,40,DN1,Central,2024-08-03,Approved,255428982
426,426,26896,24,DN1,Central,2024-10-09,Approved,88714964
427,427,56175,19,HCM2,South,2024-08-22,Processing,436910824
428,428,17805,37,HCM2,Central,2024-03-25,Approved,176603979
430,430,30056,21,CT1,South,2024-05-17,Processing,478963083
431,431,55543,8,CT1,North,2024-05-30,Processing,91728425
432,432,66556,28,DN1,Central,2024-04-28,Approved,409818243
434,434,23500,17,HN1,Central,2024-12-09,Rejected,386685091
436,436,39375,36,HCM2,North,2024-12-20,Approved,166502905
437,437,19662,19,HCM1,North,2024-06-07,Approved,365150451
438,438,26964,27,CT1,South,2024-03-17,Approved,162700470
439,439,69638,34,HCM2,North,2024-05-25,Rejected,127835515
440,440,83666,11,HCM1,Central,2024-12-09,Approved,233799334
441,441,95067,45,DN1,Central,2024-08-16,Processing,212542212
442,442,77215,47,CT1,South,2024-11-09,Approved,273796918
443,443,79042,12,HN1,South,2024-04-16,Processing,214261913
444,444,23284,21,HCM1,Central,2024-12-15,Approved,28965175
445,445,82789,11,CT1,North,2024-10-31,Rejected,409035231
446,446,94664,39,CT1,Central,2024-03-28,Processing,44157112
447,447,71389,28,HN1,South,2024-10-29,Processing,201112752
448,448,19435,5,HN1,South,2024-06-20,Processing,210203021
449,449,64340,17,HN1,Central,2024-06-18,Approved,347618700
450,450,54078,20,HCM1,North,2024-05-17,Approved,321393687
451,451,88832,41,HN1,North,2024-02-20,Approved,106029393
452,452,61293,46,DN1,South,2024-12-09,Approved,389479551
453,453,88781,12,CT1,Central,2024-12-14,Approved,301010316
456,456,53919,19,HCM2,Central,2024-05-16,Rejected,341744110
457,457,45247,26,HCM2,South,2024-09-01,Approved,312110837
458,458,72752,48,HN1,North,2024-04-19,Approved,362640046
459,459,66573,44,CT1,North,2024-11-09,Processing,478059959
461,461,36646,32,HN1,North,2024-01-25,Processing,126134567
463,463,89605,36,HN1,South,2024-10-24,Processing,108261143
464,464,78385,38,CT1,South,2024-04-24,Rejected,435828080
466,466,75417,33,HN1,South,2024-03-19,Approved,494583185
467,467,33289,24,HCM2,Central,2024-06-27,Processing,440317965
468,468,19823,23,HN1,Central,2024-12-10,Approved,44146207
470,470,51975,27,HCM2,North,2024-04-13,Processing,226227033
472,472,26364,17,DN1,North,2024-04-27,Approved,325512004
473,473,14611,14,HCM2,North,2024-04-04,Approved,97387969
474,474,37663,27,CT1,Central,2024-01-29,Processing,282795615
476,476,67679,28,HCM1,Central,2024-03-01,Approved,177630209
477,477,40977,47,CT1,South,2024-10-25,Processing,334014526
479,479,98223,4,CT1,Central,2024-11-29,Approved,58738875
480,480,70890,7,CT1,North,2024-09-06,Approved,405738856
483,483,69275,48,HCM2,North,2024-05-22,Approved,241105407
486,486,45195,45,HCM2,North,2024-09-15,Approved,363610758
487,487,14000,17,CT1,Central,2024-12-20,Approved,141364750
488,488,80588,17,DN1,North,2024-08-14,Processing,387091247
489,489,48304,49,HCM2,Central,2024-06-03,Approved,194895334
490,490,79449,33,HN1,South,2024-01-21,Approved,34569191
492,492,99643,8,CT1,South,2024-08-29,Approved,419432669
493,493,30764,19,HCM1,Central,2024-12-12,Processing,315696470
494,494,96027,38,HCM2,South,2024-08-26,Processing,49179482
495,495,48494,3,DN1,Central,2024-02-06,Approved,406393420
496,496,13373,5,HN1,North,2024-07-09,Processing,36085851
499,499,35351,46,HCM1,North,2024-05-06,Processing,360733945
500,500,98668,31,HCM2,Central,2024-12-12,Approved,177270106
501,501,25305,16,CT1,North,2024-08-17,Approved,499756061
502,502,85353,32,DN1,Central,2024-08-12,Approved,338122113
503,503,86797,22,HN1,North,2024-07-31,Processing,466748509
504,504,75953,29,HCM1,South,2024-01-28,Processing,100250562
507,507,13267,3,HN1,Central,2024-11-28,Processing,401536566
508,508,92745,10,HN1,North,2024-05-08,Rejected,447756181
509,509,99588,42,CT1,Central,2024-02-13,Approved,358125148
510,510,48513,21,HN1,North,2024-12-01,Approved,128491533
512,512,21338,12,HN1,South,2024-12-27,Approved,379903468
513,513,10412,2,HCM2,Central,2024-02-07,Processing,158113934
515,515,43496,24,DN1,North,2024-02-17,Approved,148654769
516,516,70692,35,HCM2,South,2024-05-16,Approved,237629965
518,518,54425,30,HN1,Central,2024-05-01,Processing,247996016
519,519,48756,47,DN1,North,2024-03-10,Processing,208479393
520,520,28888,35,HCM2,Central,2024-12-19,Rejected,182167535
521,521,45735,19,CT1,Central,2024-12-26,Processing,270387586
522,522,57295,8,HCM1,North,2024-02-17,Approved,198333995
524,524,95999,49,HCM1,South,2024-10-17,Processing,433120272
525,525,27955,40,DN1,North,2024-01-13,Processing,284632866
526,526,47841,7,DN1,Central,2024-02-01,Approved,208713712
527,527,80640,30,CT1,North,2024-09-04,Processing,228842912
528,528,75510,7,HN1,Central,2024-10-03,Rejected,157643108
529,529,44911,3,HCM2,South,2024-03-31,Approved,110079805
530,530,69031,1,HCM2,North,2024-09-01,Approved,318726624
531,531,98726,36,HCM2,Central,2024-11-25,Approved,192847087
532,532,17357,25,HN1,North,2024-01-15,Approved,107778108
533,533,42479,37,HCM1,North,2024-01-04,Approved,401043158
534,534,71476,1,HCM2,North,2024-07-10,Approved,485711158
535,535,54811,15,HCM1,North,2024-06-20,Processing,264137488
536,536,46208,37,HN1,South,2024-01-11,Processing,57046475
537,537,30150,13,HN1,Central,2024-04-22,Processing,316074681
538,538,81180,40,CT1,North,2024-05-19,Processing,450567295
539,539,53286,8,HCM2,Central,2024-06-05,Processing,192900095
540,540,78450,5,CT1,South,2024-07-31,Approved,493991752
541,541,31352,9,HCM2,Central,2024-09-28,Processing,471924104
543,543,24397,36,HN1,South,2024-04-11,Approved,295866698
547,547,60517,23,HN1,North,2024-09-21,Processing,253856285
548,548,76234,9,HCM1,North,2024-10-03,Processing,310049041
549,549,49954,34,HCM1,Central,2024-03-21,Rejected,267456175
550,550,57280,46,CT1,South,2024-05-29,Rejected,376997328
551,551,89459,14,DN1,North,2024-04-22,Processing,228585937
552,552,26779,4,DN1,North,2024-09-14,Processing,53572345
553,553,73932,30,HN1,South,2024-04-06,Processing,321003007
554,554,82936,31,HN1,Central,2024-01-13,Rejected,436741998
557,557,79896,35,HCM1,Central,2024-11-28,Rejected,458658404
558,558,45270,8,HCM2,Central,2024-07-09,Processing,139849101
561,561,61934,13,HCM1,Central,2024-01-10,Approved,75760846
562,562,74895,45,HCM1,North,2024-03-10,Approved,471527872
563,563,42307,32,HCM2,North,2024-07-13,Rejected,315694087
564,564,64098,34,CT1,South,2025-01-01,Processing,406977883
565,565,70921,45,HCM2,South,2024-09-13,Approved,392546336
566,566,15486,19,CT1,North,2024-01-11,Approved,290415012
567,567,18335,38,CT1,North,2024-04-30,Approved,244581193
569,569,99112,2,DN1,Central,2024-04-10,Approved,21775734
572,572,70566,34,HN1,North,2024-05-22,Approved,259380208
573,573,76703,42,DN1,North,2024-09-24,Processing,24369987
574,574,37192,16,CT1,North,2024-02-07,Approved,457406100
576,576,94076,2,HCM2,South,2024-03-17,Approved,383168461
577,577,99780,2,HCM2,Central,2024-11-05,Approved,404719951
578,578,31545,26,CT1,South,2024-07-21,Approved,171446064
580,580,21174,47,HCM2,South,2024-09-06,Processing,176378024
581,581,98461,31,DN1,North,2024-11-11,Approved,302345768
583,583,33714,39,HCM2,North,2024-10-06,Approved,267011822
584,584,48102,3,DN1,South,2024-04-15,Approved,388621377
588,588,82267,27,HN1,Central,2024-05-31,Approved,56852510
590,590,33625,39,CT1,North,2024-07-28,Processing,95204320
591,591,92873,39,HN1,Central,2024-06-28,Processing,28450238
592,592,82592,1,HCM2,Central,2024-07-15,Approved,31358005
595,595,11542,30,HCM1,Central,2024-10-14,Approved,83964081
596,596,31677,13,HN1,South,2024-10-06,Approved,308548452
